id,command,arg0<jpn>,arg1<jpn>,arg2,arg3,arg4
kiko2-2,talk,natsuno,I was pretty confused when I first heard it too,,,
kiko2-2,talk,natsuno,It's hard to believe something like that when you're suddenly told about it,,,
kiko2-2,talk,kiko,Hmm......,,,
kiko2-2,talk,kiko,This is a world inside a computer......?,,,
kiko2-2,talk,natsuno,I'll tell you again if you want to hear it. As many times as you want,,,
kiko2-2,talk,kiko,Hmm......,,,
kiko2-2,talk,kiko,Hmm......?,,,
kiko2-2,talk,natsuno,......,,,
kiko2-2,pauseBgm,,,,,
kiko2-2,talk,natsuno,......Kiko,,,
kiko2-2,talk,natsuno,What have you been doing?,,,
kiko2-2,talk,natsuno,After that......after we went our separate ways,,,
kiko2-2,talk,kiko,......,,,
kiko2-2,fg,survivor01,right-left,0.5,depress,dog
kiko2-2,talk,kiko,......I,,,
kiko2-2,playBgm,scenario02,,,,
kiko2-2,talk,kiko,After I buried Minotaro......I told you I'd go back to the camp， Natsuno-san,,,
kiko2-2,talk,natsuno,......Yeah,,,
kiko2-2,talk,kiko,......But,,,
kiko2-2,talk,kiko,The truth is......I wasn't planning to go back,,,
kiko2-2,talk,natsuno,......,,,
kiko2-2,fg,survivor00,right-right,0.5,depress,
kiko2-2,talk,natsuno,......Yeah,,,
kiko2-2,talk,natsuno,......I know,,,
kiko2-2,talk,kiko,......,,,
kiko2-2,talk,kiko,......I see,,,
kiko2-2,talk,kiko,I suppose you did,,,
kiko2-2,talk,kiko,You saw right through me， didn't you,,,
kiko2-2,talk,kiko,......,,,
kiko2-2,talk,kiko,......I really had nowhere else to go,,,
kiko2-2,talk,kiko,I wasn't planning to go back either,,,
kiko2-2,talk,kiko,I just wanted to stay by Minotaro's side......forever,,,
kiko2-2,talk,kiko,......So I stayed there for a while after that,,,
kiko2-2,talk,kiko,......,,,
kiko2-2,talk,kiko,......But,,,
kiko2-2,talk,kiko,After I'd calmed down a little， I went looking for flowers to leave at Minotaro's grave,,,
kiko2-2,talk,kiko,And by chance， I met this little one......Kantarō,,,
kiko2-2,talk,natsuno,......I see,,,
kiko2-2,talk,kiko,He's so lively now， but,,,
kiko2-2,talk,kiko,When I found him， he was really weak......,,,
kiko2-2,talk,kiko,He was thin， filthy， and smelled terrible. He could barely walk,,,
kiko2-2,talk,kiko,He probably hadn't eaten anything in a long time,,,
kiko2-2,talk,kiko,......,,,
kiko2-2,talk,kiko,......A collar,,,
kiko2-2,talk,kiko,He was wearing one,,,
kiko2-2,talk,kiko,......This little one used to belong to someone,,,
kiko2-2,talk,kiko,When I found him,,,
kiko2-2,talk,kiko,He kept wandering around in front of a certain house,,,
kiko2-2,talk,kiko,No one lives there anymore， but,,,
kiko2-2,talk,kiko,Even though he wasn't tied to it， he wouldn't leave that house,,,
kiko2-2,talk,kiko,I think that must have been the home he was raised in,,,
kiko2-2,talk,kiko,......,,,
kiko2-2,talk,kiko,Given everything that's happened,,,
kiko2-2,talk,kiko,Maybe he couldn't escape with them,,,
kiko2-2,talk,kiko,Or maybe he got separated from them along the way......I don't know,,,
kiko2-2,talk,kiko,But this little one......kept waiting for his family to come home,,,
kiko2-2,talk,natsuno,......,,,
kiko2-2,talk,kiko,......,,,
kiko2-2,pauseBgm,,,,,
kiko2-2,fgRemove,survivor01,1.0,,,
kiko2-2,fgRemove,survivor00,1.0,,,
kiko2-2,talk,kiko,......I,,,
kiko2-2,talk,kiko,After I left you， Natsuno-san， I didn't care about anything anymore,,,
kiko2-2,talk,kiko,Minotaro was dead,,,
kiko2-2,talk,kiko,And all I had left was to keep living， day after day， until I died someday,,,
kiko2-2,talk,kiko,If that's all there was......,,,
kiko2-2,talk,kiko,......I thought it would be okay if I died there， together with Minotaro,,,
kiko2-2,talk,kiko,That's what I thought,,,
kiko2-2,talk,kiko,......,,,
kiko2-2,talk,kiko,......But,,,
kiko2-2,talk,kiko,When I found this little one,,,
kiko2-2,talk,kiko,I......,,,
kiko2-2,talk,kiko,......,,,
kiko2-2,talk,kiko,......Natsuno-san,,,
kiko2-2,talk,kiko,I'm sorry， I,,,
kiko2-2,playBgm,scenario03,,,,
kiko2-2,talk,kiko,Back then......I did something horrible to you， Natsuno-san,,,
kiko2-2,talk,kiko,I knew from the start that I didn't care what happened to my own life,,,
kiko2-2,talk,kiko,And yet I relied on you......then selfishly said goodbye,,,
kiko2-2,talk,kiko,I'm sorry......,,,
kiko2-2,talk,kiko,......After meeting this little one， I understood,,,
kiko2-2,talk,kiko,I understood how awful I must have made you feel back then,,,
kiko2-2,talk,kiko,Even though this little one might die too， he stayed there waiting for his owner,,,
kiko2-2,talk,kiko,Even though he must have known that he would die someday......,,,
kiko2-2,talk,kiko,So......,,,
kiko2-2,talk,kiko,......I'm sorry,,,
kiko2-2,talk,natsuno,......,,,
kiko2-2,talk,natsuno,......No,,,
kiko2-2,talk,natsuno,I'm sorry too,,,
kiko2-2,talk,natsuno,Back then， I......didn't know what to do,,,
kiko2-2,talk,natsuno,I couldn't do anything,,,
kiko2-2,talk,natsuno,All I could do was......leave you alone， Kiko,,,
kiko2-2,talk,natsuno,......,,,
kiko2-2,talk,natsuno,......But,,,
kiko2-2,talk,natsuno,Kiko,,,
kiko2-2,talk,natsuno,You were able to......save that little one,,,
kiko2-2,talk,kiko,......,,,
kiko2-2,talk,kiko,......Yes,,,
kiko2-2,wait,3,,,,
kiko2-2,end,questSuccess,,,,
-,,,,,,
kiko2-3,bg,scenario10,,,,
kiko2-3,playBgm,character01,,,,
kiko2-3,talk,natsuno,Kiko......what are you doing now?,,,
kiko2-3,talk,natsuno,It looks like you're wandering around alone again......,,,
kiko2-3,fg,survivor01,right-left,1.0,default,dog
kiko2-3,pauseBgm,,,,,
kiko2-3,talk,kiko,......,,,
kiko2-3,talk,kiko,......I,,,
kiko2-3,talk,kiko,After that......,,,
kiko2-3,playBgm,scenario03,,,,
kiko2-3,talk,kiko,After I found this little one， I took him back to the camp,,,
kiko2-3,talk,kiko,I wanted to save him， but there was nothing I could do on my own,,,
kiko2-3,talk,kiko,So I went back to the camp where my parents are,,,
kiko2-3,talk,natsuno,......You remembered where the camp was,,,
kiko2-3,talk,kiko,No......when I said I didn't remember where the camp was， that was true,,,
kiko2-3,talk,kiko,I only made it back safely by chance......,,,
kiko2-3,talk,kiko,I wandered around for days， but somehow， I found the camp,,,
kiko2-3,talk,kiko,I think it took me many times longer than it did when I left,,,
kiko2-3,talk,kiko,......Both of us were on the verge of collapsing,,,
kiko2-2,fg,survivor00,right-right,0.5,serious,
kiko2-3,talk,natsuno,......Did your parents get angry with you?,,,
kiko2-3,talk,kiko,......Yes,,,
kiko2-3,talk,kiko,I'd never seen my parents that angry before,,,
kiko2-3,talk,kiko,They scolded me a lot， but,,,
kiko2-3,talk,kiko,My parents， and everyone at the camp,,,
kiko2-3,talk,kiko,They accepted both me and the little one I brought back......,,,
kiko2-3,talk,kiko,Everyone at the camp takes care of them together now,,,
kiko2-3,talk,kiko,Thanks to everyone， he's gotten so healthy,,,
kiko2-3,talk,natsuno,......I see,,,
kiko2-3,talk,natsuno,I'm glad,,,
kiko2-3,talk,kiko,Yes,,,
kiko2-3,talk,natsuno,Then......why are you alone again after all?,,,
kiko2-3,talk,kiko,......,,,
kiko2-3,talk,kiko,......When I found this little one,,,
kiko2-3,talk,kiko,I thought about something,,,
kiko2-3,talk,kiko,There must be so many lives like this......,,,
kiko2-3,talk,kiko,They were cared for by people， but can no longer stay with them,,,
kiko2-3,talk,kiko,And ended up all alone......,,,
kiko2-3,talk,kiko,Some keep waiting for their owners， while others wander around not knowing what to do,,,
kiko2-3,talk,kiko,Some can't leave their homes and end up starving,,,
kiko2-3,talk,kiko,There are so many lives like that,,,
kiko2-3,talk,kiko,......,,,
kiko2-3,talk,kiko,......That's why,,,
kiko2-3,talk,kiko,I want to help those lives， even if it's only a little,,,
kiko2-3,talk,kiko,Sometimes I go around the towns， looking to see if there are any animals left behind,,,
kiko2-3,talk,kiko,I'm looking for ones that， like this little one， will die if no one helps them,,,
kiko2-3,talk,natsuno,I see,,,
kiko2-3,talk,natsuno,That sounds......well， pretty hard,,,
kiko2-3,talk,natsuno,What happens to the ones you find?,,,
kiko2-3,talk,kiko,Just like this little one， everyone at the camp takes care of them together,,,
kiko2-3,talk,kiko,There are five at the camp now: dogs， cats， and chickens......I think,,,
kiko2-3,talk,kiko,......,,,
kiko2-3,talk,kiko,......Of course， they need food too,,,
kiko2-3,talk,kiko,And there are lots of things we have to do to take care of them,,,
kiko2-3,talk,kiko,Every day is full of difficult things,,,
kiko2-3,talk,kiko,......But,,,
kiko2-3,talk,kiko,I say we're helping them， that we're taking care of them,,,
kiko2-3,talk,kiko,But they're helping us too,,,
kiko2-3,talk,kiko,Ever since they came， everyone at the camp has started talking more,,,
kiko2-3,talk,kiko,I feel like we're laughing more too,,,
kiko2-3,talk,kiko,Even going out to look for food doesn't feel like something I hate anymore,,,
kiko2-3,talk,kiko,Sometimes people who happen to find our camp have even taken in the puppies,,,
kiko2-3,talk,kiko,That's how different people have been helping us,,,
kiko2-3,talk,kiko,We've been helped too,,,
kiko2-3,talk,kiko,We're......all living together,,,
kiko2-3,talk,natsuno,......Yeah,,,
kiko2-3,talk,natsuno,I've never had a pet before， but,,,
kiko2-3,talk,natsuno,Somehow......I understand,,,
kiko2-3,talk,natsuno,It was like that when I was with you， Kiko,,,
kiko2-3,talk,natsuno,I didn't really think about it that way， but I think I felt like I had to protect you,,,
kiko2-3,talk,natsuno,Being together wasn't always easy,,,
kiko2-3,talk,natsuno,But it wasn't only hard,,,
kiko2-3,talk,natsuno,We had fun together too,,,
kiko2-3,talk,natsuno,And feeling like I had to protect you......,,,
kiko2-3,talk,natsuno,More than anything， it felt like the right thing to do,,,
kiko2-3,talk,natsuno,When I'm alone， I can think， 'If I died， nobody would even care',,,
kiko2-3,talk,natsuno,But when I was with you， Kiko......it wasn't like that,,,
kiko2-3,talk,natsuno,Feeling like I have to protect someone is hard， but,,,
kiko2-3,talk,natsuno,But......somehow， it makes me feel more hopeful,,,
kiko2-3,talk,kiko,......,,,
kiko2-3,talk,kiko,......Yes， that's true,,,
kiko2-3,talk,kiko,It makes you......feel more hopeful,,,
kiko2-3,fg,survivor01,right-left,0.5,shy,dog
kiko2-3,talk,kiko,Yes......that's right,,,
kiko2-3,talk,kiko,I......feel really hopeful now,,,
kiko2-3,wait,1,,,,
kiko2-3,end,questSuccess,,,,
-,,,,,,
kiko2-4,bg,location06,,,,
kiko2-4,fg,survivor00,right-right,0,serious,
kiko2-4,playBgm,environment00,,,,
kiko2-4,wait,2,,,,
kiko2-4,talk,natsuno,......,,,
kiko2-4,talk,natsuno,That little one......,,,
kiko2-4,fg,survivor01,right-left,1.0,serious,
kiko2-4,talk,kiko,......,,,
kiko2-4,talk,kiko,......He's okay,,,
kiko2-4,talk,kiko,He's breathing,,,
kiko2-4,talk,kiko,He's pretty weak， though......,,,
kiko2-4,talk,natsuno,......He's still a kitten， right,,,
kiko2-4,talk,kiko,Yes......,,,
kiko2-4,talk,kiko,Maybe about six months old......,,,
kiko2-4,talk,kiko,How did a kitten end up all alone in a place like this......,,,
kiko2-4,talk,natsuno,......,,,
kiko2-4,talk,natsuno,......What should we do?,,,
kiko2-4,talk,kiko,......,,,
kiko2-4,talk,kiko,Maybe his mother is around,,,
kiko2-4,talk,kiko,She might have gone somewhere to hunt,,,
kiko2-4,talk,kiko,......But,,,
kiko2-4,talk,kiko,If he's this weak， then if we leave him like this， he......,,,
kiko2-4,talk,kiko,......,,,
kiko2-4,talk,kiko,Let's look around for a little while,,,
kiko2-4,talk,natsuno,......Okay,,,
kiko2-4,talk,kiko,......,,,
kiko2-4,wait,2,,,,
kiko2-4,fadeOut,1,,,,
kiko2-4,newPage,,,,,
kiko2-4,pauseBgm,,,,,
kiko2-4,fg,survivor00,right-right,0,serious,
kiko2-4,fg,survivor01,right-left,0,serious,dog
kiko2-4,bg,scenario10,,,,
kiko2-4,wait,1,,,,
kiko2-4,fadeIn,1,,,,
kiko2-4,talk,natsuno,You've been......saving lives like this all along， haven't you,,,
kiko2-4,talk,natsuno,You've been saving lives like this all along， haven't you,,,
kiko2-4,talk,kiko,......,,,
kiko2-4,talk,kiko,......Saving lives， or helping something,,,
kiko2-4,talk,kiko,I don't really......think of it that way,,,
kiko2-4,playBgm,scenario03,,,,
kiko2-4,talk,kiko,There isn't much I can do on my own,,,
kiko2-4,talk,kiko,Even if I manage to save this little one,,,
kiko2-4,talk,kiko,It's only a tiny part of all the lives out there asking for help,,,
kiko2-4,talk,kiko,Even while we're doing this， so many lives are being lost,,,
kiko2-4,talk,kiko,No matter how hard I try......it's so insignificant,,,
kiko2-4,talk,kiko,It doesn't solve anything,,,
kiko2-4,talk,kiko,......,,,
kiko2-4,talk,kiko,......But even so,,,
kiko2-4,talk,kiko,I can't just do nothing,,,
kiko2-4,talk,kiko,......That's all,,,
kiko2-4,talk,kiko,......,,,
kiko2-4,talk,kiko,......Of course,,,
kiko2-4,talk,kiko,There are plenty of times when I'm glad I did it too,,,
kiko2-4,talk,kiko,Even at the camp where I live， and among the people I've met by chance,,,
kiko2-4,talk,kiko,There are people who couldn't escape with the animals they cared for,,,
kiko2-4,talk,kiko,And they tell me they still regret it,,,
kiko2-4,talk,kiko,Sometimes those people help us too,,,
kiko2-4,talk,kiko,They take in the animals we were caring for,,,
kiko2-4,talk,kiko,Or share food for the animals with us,,,
kiko2-4,talk,kiko,......,,,
kiko2-4,talk,kiko,......Natsuno-san,,,
kiko2-4,talk,natsuno,......What?,,,
kiko2-4,talk,kiko,When I first met you， Natsuno-san,,,
kiko2-4,talk,kiko,I'm sorry that I made you feel awful because of my selfishness,,,
kiko2-4,talk,natsuno,......Yeah,,,
kiko2-4,talk,kiko,But,,,
kiko2-4,talk,kiko,But the Kiko I was then and the Kiko I am now are the same,,,
kiko2-4,talk,kiko,I wander around alone， without even knowing whether I can keep myself safe,,,
kiko2-4,talk,kiko,It would be safer to stay quietly at the camp and rely on the adults,,,
kiko2-4,talk,kiko,The more animals I help， the more things we need,,,
kiko2-4,talk,kiko,I know that means I'm putting even more strain on all of us,,,
kiko2-4,talk,kiko,Maybe......someday， I might die while I'm walking around out here alone,,,
kiko2-4,talk,kiko,Even so......I keep walking out here,,,
kiko2-4,talk,natsuno,......,,,
kiko2-4,talk,kiko,I don't think my life doesn't matter anymore,,,
kiko2-4,talk,kiko,Life is precious. Watching these little ones always reminds me of that,,,
kiko2-4,talk,kiko,But,,,
kiko2-4,talk,kiko,Living while carrying regrets is worse to me than dying,,,
kiko2-4,talk,kiko,It's not that I don't care about my own life......but,,,
kiko2-4,talk,kiko,Our lives are precious， but even so， I don't want to give up on these little ones' lives either,,,
kiko2-4,talk,kiko,I want to believe......that we don't have to give up,,,
kiko2-4,talk,kiko,That's something I want to value more than simply continuing to live,,,
kiko2-4,talk,kiko,That's why， back then......when all I wanted was to find Minotaro rather than think about myself,,,
kiko2-4,talk,kiko,I'm still the same now......,,,
kiko2-4,talk,natsuno,......,,,
kiko2-4,talk,natsuno,......Yeah,,,
kiko2-4,talk,natsuno,I understand,,,
kiko2-4,talk,natsuno,There's something more important than simply being alive right now,,,
kiko2-4,talk,natsuno,But that doesn't mean throwing your life away,,,
kiko2-4,talk,natsuno,......I understand that too,,,
kiko2-4,talk,kiko,......,,,
kiko2-4,talk,kiko,......I'm glad,,,
kiko2-4,talk,kiko,That this world isn't real， or that it's inside a computer,,,
kiko2-4,talk,kiko,If I'd heard that back then......I might have stopped caring about everything and thought it would be okay to die,,,
kiko2-4,talk,kiko,But I'm different now,,,
kiko2-4,talk,kiko,I want to help these little ones,,,
kiko2-4,talk,kiko,Because I can keep living for that,,,
kiko2-4,talk,natsuno,......,,,
kiko2-4,talk,natsuno,Yeah,,,
kiko2-4,talk,natsuno,If you can say that,,,
kiko2-4,talk,natsuno,......I'm glad I told you， Kiko,,,
kiko2-4,talk,kiko,Well......,,,
kiko2-4,talk,kiko,Honestly， I still don't really believe any of it,,,
kiko2-4,talk,natsuno,Heh,,,
kiko2-4,talk,natsuno,I know,,,
kiko2-4,talk,kiko,......,,,
kiko2-4,talk,kiko,......Then,,,
kiko2-4,talk,kiko,I'm going to take this little one back to the camp,,,
kiko2-4,talk,kiko,We couldn't find his mother,,,
kiko2-4,talk,kiko,And I can't just leave him here,,,
kiko2-4,talk,natsuno,......Yeah,,,
kiko2-4,talk,natsuno,I'll drive you back to the camp,,,
kiko2-4,talk,natsuno,......This is where we say goodbye， then,,,
kiko2-4,talk,natsuno,......I,,,
kiko2-4,talk,natsuno,Something important， like what you found,,,
kiko2-4,talk,natsuno,I'll look for it from now on,,,
kiko2-4,talk,natsuno,I still don't know if something like that even exists......,,,
kiko2-4,talk,natsuno,I don't want to have any regrets either,,,
kiko2-4,talk,kiko,......Yes,,,
kiko2-4,talk,kiko,If we happen to meet somewhere again,,,
kiko2-4,talk,kiko,Please tell me your story， Natsuno-san,,,
kiko2-4,talk,natsuno,......Yeah,,,
kiko2-4,talk,natsuno,......,,,
kiko2-4,talk,natsuno,......Kiko,,,
kiko2-4,talk,natsuno,Somehow， you've really grown up since the last time I saw you,,,
kiko2-4,talk,kiko,Haha,,,
kiko2-4,talk,kiko,Have I,,,
kiko2-4,talk,kiko,......,,,
kiko2-4,fg,survivor01,right-left,0.5,shy,dog
kiko2-4,talk,kiko,......I hope so,,,
kiko2-4,wait,3,,,,
kiko2-4,removeSurvivor,kiko,,,,
kiko2-4,end,ending,kiko2,,,
-,,,,,,
