id,command,arg0<jpn>,arg1<jpn>,arg2,arg3
-,,,
itsuka2-1,bg,scenario23
itsuka2-1,talk,natsuno,......
itsuka2-1,talk,natsuno,......え？
itsuka2-1,wait,2
itsuka2-1,fadeOut,1
itsuka2-1,newPage
itsuka2-1,wait,1
itsuka2-1,fadeIn,1
itsuka2-1,wait,1
itsuka2-1,talk,itsuka,あの人は、まだ十七歳の女の子だった
itsuka2-1,talk,itsuka,私よりずっと若い......若いっていうか幼いくらいの女の子だった
itsuka2-1,talk,itsuka,だけど......
itsuka2-1,talk,itsuka,なんていうか.....女神様みたいだった
itsuka2-1,talk,natsuno,......？
itsuka2-1,talk,itsuka,うまく言葉にできないけど
itsuka2-1,talk,itsuka,雰囲気というか、オーラみたいなのがあったんだ
itsuka2-1,talk,itsuka,一目見ただけで、この人がそうなんだってわかった
itsuka2-1,talk,itsuka,そして、それを感じてたのは私だけじゃなかった
itsuka2-1,talk,itsuka,あの村にいた人たちは......
itsuka2-1,talk,itsuka,あの人を──たった十七歳の女の子を、崇めて、信仰しているみたいだった
itsuka2-1,talk,natsuno,信仰......？
itsuka2-1,talk,itsuka,そう
itsuka2-1,talk,itsuka,あの人の周りには、いつも人がいた
itsuka2-1,talk,itsuka,最初は、ただなんでもない話をしてるだけなのかと思ったんだけど
itsuka2-1,talk,itsuka,代わる代わる、村中の人があの人と話すためにやってきて
itsuka2-1,talk,itsuka,みんながあの人と話して、笑顔で帰っていくんだ
itsuka2-1,talk,itsuka,大の大人が、意見を聞きに来ることもあった
itsuka2-1,talk,itsuka,日々のちょっとした悩みから、食料の分配のこととまで、あの人に訊く
itsuka2-1,talk,itsuka,あの人の言うことにみんなが従ってた
itsuka2-1,talk,itsuka,......傍から見てて、正直ゾッとしたよ
itsuka2-1,talk,itsuka,......
itsuka2-1,talk,itsuka,だけど
itsuka2-1,talk,itsuka,私も、あの人と話をして、わかった
itsuka2-1,talk,itsuka,あの人は、普通じゃない
itsuka2-1,talk,itsuka,あの人と話してると......こう、胸のあたりが温かくなるというか
itsuka2-1,talk,itsuka,苦しさとか、つらさとか、そういうのが全部消えてしまうみたいで
itsuka2-1,talk,itsuka,ずっと感じていた寂しさから......やっと解放されたような感じがするんだ
itsuka2-1,talk,itsuka,あの人の声を聞いてるだけで、救われたような気持ちになる
itsuka2-1,talk,itsuka,だから、みんなあの人のところに来る
itsuka2-1,talk,itsuka,あの村は、そうやってあの人の周りに留まった人たちの集まりみたいだった
itsuka2-1,talk,itsuka,私がいたのはたった数日だけど、その間にも、偶然通りかかった人たちがあの村に居ついたりしてた
itsuka2-1,talk,natsuno,......
itsuka2-1,talk,itsuka,あの人の身体には、たぶん
itsuka2-1,talk,itsuka,私にスマホの向こうのあなたの声が聞こえたり、ナツノのスマホが繋がるみたいに
itsuka2-1,talk,itsuka,何か、奇妙な変容が起きてるんだと思う
itsuka2-1,wait,1
itsuka2-1,appendSurvivor,itsuka
itsuka2-1,end,questSuccess
-,,,
itsuka2-2,bg,scenario35
itsuka2-2,fg,survivor00,right-right,0,serious
itsuka2-2,fg,survivor06,right-left,0,default
itsuka2-2,playBgm,character06
itsuka2-2,talk,itsuka,あれは、ただあの人が優しいとか、人の心を奪う術を知っているとか、そういうものじゃない
itsuka2-2,talk,itsuka,何か、変容が起きた結果なんだと思う
itsuka2-2,talk,itsuka,私たちの『寂しさ』が、このパンデミックの原因だっていうなら
itsuka2-2,talk,itsuka,その『寂しさ』を解消する......元に戻すちからが、あの人にはあるのかもしれない
itsuka2-2,talk,itsuka,本当なのかどうか、わからなかったけど
itsuka2-2,talk,itsuka,あの人と話をしたら、身体の変容が止まった......って話も聞いた
itsuka2-2,talk,natsuno,......！
itsuka2-2,talk,natsuno,じゃあ......
itsuka2-2,talk,natsuno,その人なら、このパンデミックを終わらせられるってこと......？
itsuka2-2,talk,itsuka,......そうかもしれない
itsuka2-2,talk,itsuka,でもわからない。私が聞いたのは、『治った』んじゃなくて『進行が止まった』ってことだけ
itsuka2-2,talk,itsuka,それが本当かだってわからないし、本当だとしても、あの人が世界中の人と話をするっていうのは現実的じゃない
itsuka2-2,talk,natsuno,......そっか
itsuka2-2,talk,itsuka,それに......
itsuka2-2,talk,itsuka,......
itsuka2-2,talk,itsuka,......あの人は
itsuka2-2,talk,itsuka,あの人は、私たちとは全然違う話をしてた
itsuka2-2,talk,itsuka,あの人が言うには
itsuka2-2,talk,itsuka,ご神託、があったらしい
itsuka2-2,talk,natsuno,ご神託......？
itsuka2-2,talk,itsuka,パンデミックが本格的になるちょっと前、あの人は神様からのお告げを聞いたんだって言ってた
itsuka2-2,talk,itsuka,私がスマホの向こうのあなたの声を聞くのとは違って
itsuka2-2,talk,itsuka,声とか言葉ではない何かが、ふと降りてきたんだって
itsuka2-2,talk,itsuka,人々の話を聞き、導きなさい......って
itsuka2-2,talk,itsuka,神様からそう言われたんだって、あの人は言ってた
itsuka2-2,talk,natsuno,......
itsuka2-2,talk,natsuno,......それって
itsuka2-2,talk,natsuno,なんていうか......
itsuka2-2,talk,natsuno,信じていいの？
itsuka2-2,talk,itsuka,......
itsuka2-2,talk,itsuka,......そうだよね
itsuka2-2,talk,itsuka,神様とか、ご神託とか......いきなり、そんな宗教的な話をされて
itsuka2-2,talk,itsuka,私も、全然信じられなかった
itsuka2-2,talk,itsuka,もちろん今も、信じられてるわけじゃない
itsuka2-2,talk,itsuka,でも、あの人はそれを信じてる
itsuka2-2,talk,itsuka,そして、あの人の周りに集まってる人たちも、信じてる
itsuka2-2,talk,itsuka,ご神託を受けたっていう、たった十七歳の女の子を祀り上げて、あの村はできてる......
itsuka2-2,talk,itsuka,......みんな幸せそうだったけど
itsuka2-2,talk,itsuka,私には、異様なところに見えた
itsuka2-2,wait,2
itsuka2-2,fadeOut,1
itsuka2-2,pauseBgm
itsuka2-2,newPage
itsuka2-2,wait,1
itsuka2-2,fadeIn,1
itsuka2-2,wait,1
itsuka2-2,playBgm,scenario04
itsuka2-2,talk,itsuka,......けど
itsuka2-2,talk,itsuka,でも、私は思うんだ
itsuka2-2,talk,itsuka,私たちだって、同じなんだろうって
itsuka2-2,talk,itsuka,頭の中で声が聞こえたり
itsuka2-2,talk,itsuka,理由もわからないのにスマホが繋がったり
itsuka2-2,talk,itsuka,それで、この世界はコンピュータの中にあって、つくられた世界だって言ってるのも
itsuka2-2,talk,itsuka,他人から見たら......ご神託と変わらないよ
itsuka2-2,talk,natsuno,......
itsuka2-2,talk,natsuno,......そうかな
itsuka2-2,talk,natsuno,わたしのスマホからは、確かにこの人の声が聞こえるし
itsuka2-2,talk,natsuno,イツカが聞いてる声は、このスマホから聞こえるのと同じなんでしょ？
itsuka2-2,talk,natsuno,だけど、その人が聞いたのは、自分にしかわからないご神託で
itsuka2-2,talk,natsuno,その人と周りの人が、それを信じてるだけで......
itsuka2-2,talk,natsuno,わたしたちとは、ちょっと違わない？
itsuka2-2,talk,itsuka,......確かに、そうかもしれない
itsuka2-2,talk,itsuka,でも、私たちが聞いてるものだって、本当かどうかわからない
itsuka2-2,talk,itsuka,この人の声は、確かに聞こえてるけど
itsuka2-2,talk,itsuka,この人が言ってることは嘘で、外の世界なんて本当はないかもしれない
itsuka2-2,talk,itsuka,あるいは、スマホの向こうのこの人は、本当は存在しないのかもしれない
itsuka2-2,talk,itsuka,ただ、スマホから誰かの声が聞こえるってだけで......
itsuka2-2,talk,itsuka,それ以外のことは、確かめようがない
itsuka2-2,talk,natsuno,......
itsuka2-2,talk,natsuno,......この人が本当はいないって
itsuka2-2,talk,natsuno,そんなこと言ったら、何も信じられないよ
itsuka2-2,talk,itsuka,......そうだね
itsuka2-2,talk,itsuka,でも、向こうから見たら同じだ
itsuka2-2,talk,itsuka,あの人たちから見たら、私たちの言ってることは突拍子もない妄言なんだ
itsuka2-2,talk,itsuka,むしろ......
itsuka2-2,talk,itsuka,あの人たちが言ってるのは、話してると心が救われるとか、身体の変容が止まるとか、そういう希望のある話で
itsuka2-2,talk,itsuka,こっちは、この世界はコンピュータの中にあって、つくられた意味なんてないとか、どうしようもない話でさ
itsuka2-2,talk,itsuka,どっちの話を信じるかって言われたら、こっちの方が分が悪いよね
itsuka2-2,talk,natsuno,......
itsuka2-2,talk,natsuno,分が悪いとか、そういう問題じゃ......
itsuka2-2,talk,itsuka,ま、そうなんだけど
itsuka2-2,talk,itsuka,でも......結局は、人がどっちを信じるのかって話でもある
itsuka2-2,talk,itsuka,......
itsuka2-2,talk,itsuka,......私は
itsuka2-2,talk,itsuka,あの村で──あの人の前で、私たちが体験したことを話した
itsuka2-2,talk,itsuka,聞こえる声のこと、あなたの祖母のこと、外の世界のコンピュータのこと......
itsuka2-2,talk,itsuka,......
itsuka2-2,talk,itsuka,......考えてみれば、当たり前だけど
itsuka2-2,talk,itsuka,あの人たちには、全然信じてもらえなかった
itsuka2-2,talk,itsuka,妄言だと言われて......
itsuka2-2,talk,itsuka,あの人に、平手打ちされた
itsuka2-2,talk,itsuka,......
itsuka2-2,talk,itsuka,あの人たちは、ご神託とか、話をして心が安らぐってことを信じていて
itsuka2-2,talk,itsuka,私たちは、この声のことを信じてる
itsuka2-2,talk,itsuka,どっちが正しいとか、そういう話じゃなくて
itsuka2-2,talk,itsuka,何を信じて生きてるのかって......それだけのことなんだと思ったんだ
itsuka2-2,wait,2
itsuka2-2,end,questSuccess
-,,,
itsuka2-3,bg,scenario35
itsuka2-3,fg,survivor00,right-right,0,serious
itsuka2-3,fg,survivor06,right-left,0,sad
itsuka2-3,playBgm,scenario05
itsuka2-3,wait,2
itsuka2-3,talk,itsuka,あの人を一目見たとき、すぐわかった
itsuka2-3,talk,itsuka,ああ、この人なんだって
itsuka2-3,talk,itsuka,顔を見てるだけで、穏やかな気持ちになった
itsuka2-3,talk,itsuka,頭の中で響いてた声とそっくりで、あの声を聞いてるだけで幸せだった
itsuka2-3,talk,itsuka,......
itsuka2-3,talk,itsuka,......馬鹿みたいだけど
itsuka2-3,talk,itsuka,恋をしていたんだって、思う
itsuka2-3,talk,natsuno,......
itsuka2-3,talk,natsuno,......その人の変容のせい、じゃなくて？
itsuka2-3,talk,itsuka,そう......
itsuka2-3,talk,itsuka,それだけじゃないんだと思う
itsuka2-3,talk,itsuka,あの村の人たちは、確かにあの人を慕ってはいたけれど、それは恋っていうより信仰で
itsuka2-3,talk,itsuka,ありがたがって、崇めてるって感じだった
itsuka2-3,talk,itsuka,その感じもわかるけど......
itsuka2-3,talk,itsuka,私は、あの人のことが好きだった
itsuka2-3,talk,itsuka,頭の中に聞こえてた声のせいかもしれないし、ただの一目惚れかもしれない
itsuka2-3,talk,itsuka,それでも、この気持ちは、恋なんだと思う
itsuka2-3,talk,itsuka,......
itsuka2-3,talk,itsuka,......でも
itsuka2-3,talk,itsuka,あの人と話をして
itsuka2-3,talk,itsuka,私たちが経験したことを話して
itsuka2-3,talk,itsuka,それで......こっ酷くフラれた
itsuka2-3,talk,itsuka,......
itsuka2-3,talk,itsuka,どうしようもなかった
itsuka2-3,talk,itsuka,どんな風に説明しても、あの人には信じてもらえなくて
itsuka2-3,talk,itsuka,何度聞いても、あの人の言ってることを受け入れられなくて
itsuka2-3,talk,itsuka,お互いに、全然わかり合えないまま、言い争ってた
itsuka2-3,talk,itsuka,それで、最後には平手打ちされて......
itsuka2-3,talk,itsuka,結局私はあの村を追い出された
itsuka2-3,talk,itsuka,ほんと......最悪だよ
itsuka2-3,wait,2
itsuka2-3,fadeOut,1
itsuka2-3,pauseBgm
itsuka2-3,newPage
itsuka2-3,fgClear
itsuka2-3,wait,1
itsuka2-3,fadeIn,1
itsuka2-3,wait,1
itsuka2-3,playBgm,scenario04
itsuka2-3,talk,itsuka,結局、あの人は、私が求めてたような人じゃなかった
itsuka2-3,talk,itsuka,いや、女性としては、ほんとに理想だったんだけど......
itsuka2-3,talk,itsuka,あの人は、私が頭の中で聞いてた声の主とは別人だし
itsuka2-3,talk,itsuka,外の世界のことを知ってるわけじゃなかった
itsuka2-3,talk,itsuka,パンデミックの原因とか、この世界で起きてることの真実とか
itsuka2-3,talk,itsuka,そういうものにたどり着くための何かを、教えてくれるわけじゃなかった
itsuka2-3,talk,itsuka,あの人は......私たちとは全然違う世界を生きてる
itsuka2-3,talk,itsuka,......
itsuka2-3,talk,itsuka,ナツノがたどり着いた結論が、真実なのかもしれない
itsuka2-3,talk,itsuka,あるいは......あの人が言うご神託の、その先に何か別の真実があるのかもしれない
itsuka2-3,talk,itsuka,神様なんてものがいるなら、パンデミックを起こしたのも神様かもしれないしね
itsuka2-3,talk,itsuka,......
itsuka2-3,talk,itsuka,......私は、今
itsuka2-3,talk,itsuka,何を信じたらいいのか、わからない
itsuka2-3,talk,itsuka,ご神託とか、神様とか、そんなのはもちろんだし
itsuka2-3,talk,itsuka,ナツノが言う、全部偶然なんだってことも、受け入れられない
itsuka2-3,talk,itsuka,自分があの人の声を聞いてたことには、何か意味があるんだって信じたい
itsuka2-3,talk,itsuka,このパンデミックを終わらせる方法が、どこかにあるんだって思いたい
itsuka2-3,talk,itsuka,......
itsuka2-3,talk,itsuka,......だけど
itsuka2-3,talk,itsuka,そうじゃないのかもしれないって、思ってる自分もいる
itsuka2-3,talk,itsuka,それこそ、恋が終わったときみたいに
itsuka2-3,talk,itsuka,まだあの人のことが好きで
itsuka2-3,talk,itsuka,未練たらたらで
itsuka2-3,talk,itsuka,全然、あきめつかないけど
itsuka2-3,talk,itsuka,それでも......心のどこかで
itsuka2-3,talk,itsuka,あの人と一緒になることはないんだろうなって
itsuka2-3,talk,itsuka,私が信じたいと思ってた真実は、どこにもないんだろうなって......思ってる
itsuka2-3,talk,natsuno,......
itsuka2-3,talk,natsuno,......イツカは、それでいいの？
itsuka2-3,talk,itsuka,そりゃ、よくないよ
itsuka2-3,talk,itsuka,全然よくない
itsuka2-3,talk,itsuka,......って、今は思うよ
itsuka2-3,talk,itsuka,でも、きっといつか平気になる
itsuka2-3,talk,itsuka,好きだった人にフラれて、本当に苦しくて......でも、いつか時間が解決してくれるのと同じ
itsuka2-3,talk,itsuka,今そう思えるのも、あれから時間が経って、気持ちがちょっとましになったからだよ
itsuka2-3,talk,itsuka,私が思い悩んでることって、きっとそのくらいの......
itsuka2-3,talk,itsuka,恋をしたとか、フラれたとか、まだ未練があるとか
itsuka2-3,talk,itsuka,そういうのと同じようなことなんだって、思えるようになったんだ
itsuka2-3,wait,2
itsuka2-3,end,questSuccess
-,,,
itsuka2-4,bg,scenario35
itsuka2-4,fg,survivor00,right-right,0,serious
itsuka2-4,fg,survivor06,right-left,0,serious
itsuka2-4,playBgm,character06
itsuka2-4,talk,itsuka,私やナツノが体験したことは、この世界で起きるいろんな解釈の一つでしかない
itsuka2-4,talk,itsuka,多くを想像で補ってるし、確かめようのないことがたくさんある
itsuka2-4,talk,itsuka,あんなの全然勘違いで、パンデミックはあっさり解決するかもしれない
itsuka2-4,talk,itsuka,あの人たちが言ってるご神託っていうのも、同じくらい不確かだ
itsuka2-4,talk,itsuka,結局、誰が、何を信じてるのかって話でしかない
itsuka2-4,talk,itsuka,なんていうか
itsuka2-4,talk,itsuka,そのくらいのことなんだって思う
itsuka2-4,talk,itsuka,どんな人が好きとか、誰がかっこいいとか、かわいいとか
itsuka2-4,talk,itsuka,そんなのと変わんない
itsuka2-4,talk,itsuka,私が、重く考えすぎてただけなんだ
itsuka2-4,talk,natsuno,......
itsuka2-4,talk,natsuno,......そうかな
itsuka2-4,talk,natsuno,何が本当のことなのかって、大事なことだと思うけど
itsuka2-4,talk,itsuka,何が本当のことなのかっていうのは、確かに大事かもしれない
itsuka2-4,talk,itsuka,でも、それはたぶん、自分にとって何が本当かって話だ
itsuka2-4,talk,itsuka,ナツノはナツノが信じてることを信じてるし
itsuka2-4,talk,itsuka,あの人たちは、あの人たちの信じてることを信じてる
itsuka2-4,talk,itsuka,人の数だけ信じてることがあって......そういうものなんだと思う
itsuka2-4,talk,natsuno,......そうかな
itsuka2-4,talk,itsuka,私は、そう思う
itsuka2-4,talk,itsuka,それに......これはナツノが私に言ってくれたことだ
itsuka2-4,talk,itsuka,私があの人に会って、それでどんな真実を持ち帰ったって、話を聞くってナツノは言ってくれた
itsuka2-4,talk,itsuka,もし仮に、私があの人たちの言うことをそのまま信じてたら
itsuka2-4,talk,itsuka,ナツノは、もう私と口を利かない？
itsuka2-4,talk,natsuno,......ううん
itsuka2-4,talk,natsuno,そんなことないと思う
itsuka2-4,talk,itsuka,私を説得しようって思う？
itsuka2-4,talk,natsuno,......たぶん、ちょっと思う
itsuka2-4,talk,natsuno,でも、話をしてみて、説得できなさそうだったら......諦めると思う
itsuka2-4,talk,itsuka,諦めて、私とはもう二度と会わない？
itsuka2-4,talk,natsuno,違うよ
itsuka2-4,talk,natsuno,そうじゃない
itsuka2-4,talk,natsuno,イツカが言ってること、わたしは受け入れられないかもしれないけど
itsuka2-4,talk,natsuno,でも......それでもいい
itsuka2-4,talk,natsuno,一緒にいられないわけじゃない
itsuka2-4,talk,itsuka,......ありがとう
itsuka2-4,talk,itsuka,だから、そういうことだよ
itsuka2-4,talk,itsuka,いろんな人が、いろんなことを信じてて
itsuka2-4,talk,itsuka,それでも、私たちは一緒に生きてる
itsuka2-4,talk,itsuka,何を信じてるか、なんて......たぶん、そのくらい小さなことなんだ
itsuka2-4,talk,itsuka,......
itsuka2-4,talk,itsuka,私は今、どうしようもない気持ちになってる
itsuka2-4,talk,itsuka,あの人にフラれて、自分信じたかったことが否定されて
itsuka2-4,talk,itsuka,悲しいし、苦しい
itsuka2-4,talk,itsuka,でも、それだって、きっと時間が解決してくれる
itsuka2-4,talk,itsuka,恋が終わったときみたいに......いつか、受け入れられる
itsuka2-4,talk,itsuka,......
itsuka2-4,talk,itsuka,私はさ
itsuka2-4,talk,itsuka,また、旅に出ようと思う
itsuka2-4,talk,itsuka,一人で、いろんなものを見て
itsuka2-4,talk,itsuka,私が、これから何を信じて生きていくのか......考えてみようと思う
itsuka2-4,talk,natsuno,......
itsuka2-4,talk,natsuno,......そっか
itsuka2-4,talk,natsuno,そっかぁ
itsuka2-4,fg,survivor00,right-right,0.5,smile
itsuka2-4,talk,natsuno,いいと思う。旅に出るの
itsuka2-4,talk,natsuno,さっきまで、イツカ、フラれて病んでるのかなって思って不安だったけど
itsuka2-4,talk,natsuno,なんか、大丈夫そうだね
itsuka2-4,talk,itsuka,いや全然病んでるけどね
itsuka2-4,talk,natsuno,でも、旅に出ようとか言ってるなら、大丈夫だよ
itsuka2-4,talk,itsuka,そうなの？
itsuka2-4,talk,natsuno,くよくよしてるより、いいよ。全然
itsuka2-4,talk,itsuka,......ま、そうかもね
itsuka2-4,talk,itsuka,じゃあ、ナツノはよろこんで送り出してくれるんだ
itsuka2-4,talk,natsuno,......寂しいけど
itsuka2-4,talk,natsuno,イツカがそうしたいなら、そうすればいいと思う
itsuka2-4,fg,survivor06,right-left,0.5,zito
itsuka2-4,talk,itsuka,投げやりだな
itsuka2-4,fg,survivor06,right-left,0.5,smile
itsuka2-4,talk,itsuka,......でも、私はナツノのそういうところに救われた
itsuka2-4,talk,itsuka,......
itsuka2-4,talk,itsuka,じゃあ、私行くよ
itsuka2-4,talk,itsuka,気が紛れるまで時間を潰して、私が信じられるものを探してみる
itsuka2-4,talk,natsuno,うん
itsuka2-4,talk,natsuno,気をつけて
itsuka2-4,talk,natsuno,元気になったら、また会おうね
itsuka2-4,talk,itsuka,うん......
itsuka2-4,talk,itsuka,別に元気にならなくても、ときどき会いに行くよ
itsuka2-4,talk,itsuka,スマホの向こうのあなたが、きっと居場所教えてくれるだろうし
itsuka2-4,talk,itsuka,ちょっと一人になりたいだけ、くらいに思っててよ
itsuka2-4,talk,natsuno,わかった
itsuka2-4,talk,natsuno,じゃあ、またね
itsuka2-4,talk,itsuka,またね、ナツノ
itsuka2-4,talk,itsuka,お互い......よい旅を
itsuka2-4,wait,3
itsuka2-4,removeSurvivor,itsuka
itsuka2-4,end,ending,itsuka2
-,,,
