id,command,arg0<jpn>,arg1<jpn>,arg2,arg3,arg4
-,,,
sub-endless-kiko1,bg,scenario10
sub-endless-kiko2,talk,natsuno,うん
sub-endless-kiko2,talk,kiko,じゃあ、また！
sub-endless-kiko2,wait,1
sub-endless-kiko2,fgRemove,survivor01,1.0
sub-endless-kiko2,wait,1
sub-endless-kiko2,talk,natsuno,......
sub-endless-kiko2,talk,natsuno,......ほんと
sub-endless-kiko2,talk,natsuno,たくましく、なったなぁ
sub-endless-kiko2,wait,1
sub-endless-kiko2,removeSurvivor,kiko
sub-endless-kiko2,end,questSuccess
-,,,
sub-endless-shino1,bg,scenario06
sub-endless-shino1,fgClear
sub-endless-shino1,playBgm,character02
sub-endless-shino1,wait,2
sub-endless-shino1,talk,???,おーい！
sub-endless-shino1,fg,survivor00,right-right,0.5,default
sub-endless-shino1,talk,natsuno,......？
sub-endless-shino1,fg,survivor02,right-left,1.0,smile
sub-endless-shino1,talk,shino,やっほ！
sub-endless-shino1,talk,natsuno,あ......シノ
sub-endless-shino1,talk,shino,やっほ！！
sub-endless-shino1,talk,natsuno,や、やっほ
sub-endless-shino1,talk,shino,偶然だね、ナツノちゃん
sub-endless-shino1,talk,natsuno,そだね......
sub-endless-shino1,talk,natsuno,シノは、写真撮りながら歩いてるとこ？
sub-endless-shino1,talk,shino,そ！
sub-endless-shino1,talk,shino,せっかくだし、ちょっとご一緒しない？
sub-endless-shino1,talk,natsuno,うん。いいよ
sub-endless-shino1,talk,shino,やったね！
sub-endless-shino1,talk,shino,ナツノちゃんの愛情こもった手料理が食べたいなー
sub-endless-shino1,talk,natsuno,わたし、全然、料理上手じゃないけど......
sub-endless-shino1,talk,shino,愛情があればだいじょーぶ！
sub-endless-shino1,talk,natsuno,そんなもん......？
sub-endless-shino1,talk,shino,限度はある！
sub-endless-shino1,fg,survivor00,right-right,0.5,zito
sub-endless-shino1,talk,natsuno,......
sub-endless-shino1,wait,2
sub-endless-shino1,appendSurvivor,shino
sub-endless-shino1,end,questSuccess
-,,,
sub-endless-shino2,bg,scenario06
sub-endless-shino2,playBgm,character02
sub-endless-shino2,wait,2
sub-endless-shino2,fg,survivor02,right-left,0.5,smile
sub-endless-shino2,talk,shino,へい、ナツノちゃん
sub-endless-shino2,talk,natsuno,なに？
sub-endless-shino2,talk,shino,あたし、あっちの方行ってみるから
sub-endless-shino2,talk,shino,ここで、ばいばいだね
sub-endless-shino2,talk,natsuno,あ......
sub-endless-shino2,talk,natsuno,うん
sub-endless-shino2,talk,natsuno,そっか
sub-endless-shino2,talk,shino,じゃ、またね！
sub-endless-shino2,talk,shino,ちなみに、今回あたしに会えて、懐かしいって思った？
sub-endless-shino2,talk,natsuno,うーん......
sub-endless-shino2,talk,natsuno,あんまり
sub-endless-shino2,talk,shino,そっかー
sub-endless-shino2,talk,shino,ではまた次回！
sub-endless-shino2,talk,shino,またね！
sub-endless-shino2,talk,natsuno,ま、またね......
sub-endless-shino2,wait,1
sub-endless-shino2,fgRemove,survivor02,1.0
sub-endless-shino2,wait,1
sub-endless-shino2,talk,natsuno,......
sub-endless-shino2,talk,natsuno,......こんな調子じゃ
sub-endless-shino2,talk,natsuno,懐かしいなんて思える日、まだまだ遠そうだな
sub-endless-shino2,talk,natsuno,......
sub-endless-shino2,fg,survivor00,right-right,0.5,smile
sub-endless-shino2,talk,natsuno,......別に、いいけどね
sub-endless-shino2,wait,2
sub-endless-shino2,removeSurvivor,shino
sub-endless-shino2,end,questSuccess
-,,,
sub-endless-minamo1,bg,scenario25
sub-endless-minamo1,playBgm,character05
sub-endless-minamo1,wait,2
sub-endless-minamo1,talk,natsuno,あ
sub-endless-minamo1,talk,natsuno,ミナモ
sub-endless-minamo1,talk,natsuno,......
sub-endless-minamo1,talk,natsuno,......聞こえなかったかな
sub-endless-minamo1,talk,natsuno,ミナモ！
sub-endless-minamo1,wait,1
sub-endless-minamo1,fg,survivor05,right-left,1.0
sub-endless-minamo1,talk,minamo,......
sub-endless-minamo1,talk,minamo,......あー
sub-endless-minamo1,talk,minamo,ナツノさん
sub-endless-minamo1,talk,natsuno,......
sub-endless-minamo1,fg,survivor00,right-right,0.5,zito
sub-endless-minamo1,talk,natsuno,......なに、今の間
sub-endless-minamo1,talk,natsuno,『げ』を飲み込んだ間？
sub-endless-minamo1,talk,minamo,いやいや
sub-endless-minamo1,talk,minamo,そんなわけ
sub-endless-minamo1,talk,minamo,......ないじゃん
sub-endless-minamo1,talk,natsuno,......
sub-endless-minamo1,talk,natsuno,バツとして、ちょっとの間一人旅に付き合ってもらおうかな
sub-endless-minamo1,talk,minamo,えー
sub-endless-minamo1,talk,minamo,いやお安い御用だけど
sub-endless-minamo1,fg,survivor05,right-left,0.5,smile
sub-endless-minamo1,talk,minamo,うちもたまには、同世代の女の子とい喋りしたいなぁとか思っとったところよ
sub-endless-minamo1,talk,natsuno,ほんとかな......
sub-endless-minamo1,fg,survivor00,right-right,0.5,default
sub-endless-minamo1,talk,natsuno,じゃあまぁ
sub-endless-minamo1,talk,natsuno,いろいろ話聞かせてよ
sub-endless-minamo1,talk,minamo,おっけー。いいよ
sub-endless-minamo1,wait,2
sub-endless-minamo1,appendSurvivor,minamo
sub-endless-minamo1,end,questSuccess
-,,,
sub-endless-minamo2,bg,scenario25
sub-endless-minamo2,fg,survivor05,right-left,0
sub-endless-minamo2,playBgm,character05
sub-endless-minamo2,wait,2
sub-endless-minamo2,talk,minamo,じゃ、うちはこの辺で
sub-endless-minamo2,talk,minamo,お暇しようかな
sub-endless-minamo2,talk,natsuno,あ......
sub-endless-minamo2,talk,natsuno,うん
sub-endless-minamo2,talk,natsuno,そっか
sub-endless-minamo2,talk,minamo,そろそろ戻って、子供たちの面倒見んとね
sub-endless-minamo2,talk,natsuno,そうだね
sub-endless-minamo2,talk,natsuno,......
sub-endless-minamo2,talk,natsuno,なんか
sub-endless-minamo2,talk,natsuno,帰るところがあるって、不思議だね
sub-endless-minamo2,talk,minamo,そうねー
sub-endless-minamo2,talk,minamo,帰れるところというか
sub-endless-minamo2,talk,minamo,帰らんといけんところというか
sub-endless-minamo2,talk,minamo,ビミョーなところだけども
sub-endless-minamo2,talk,minamo,ま、いつなくなるともわからんし
sub-endless-minamo2,talk,minamo,今のうちに満喫しとこ
sub-endless-minamo2,talk,minamo,またうちのこと見かけたら、声かけてや
sub-endless-minamo2,talk,minamo,まだしばらくこの辺おるだろうし
sub-endless-minamo2,talk,natsuno,うん
sub-endless-minamo2,fg,survivor00,right-right,0.5,zito
sub-endless-minamo2,talk,natsuno,......
sub-endless-minamo2,talk,natsuno,......『げ』とか言わない？
sub-endless-minamo2,fg,survivor05,right-left,0.5,smile
sub-endless-minamo2,talk,minamo,まだ言うの？
sub-endless-minamo2,talk,minamo,意外と根にもつなー
sub-endless-minamo2,talk,minamo,言わんて
sub-endless-minamo2,fg,survivor00,right-right,0.5,smile
sub-endless-minamo2,talk,natsuno,......じゃ
sub-endless-minamo2,talk,natsuno,またね、ミナモ
sub-endless-minamo2,talk,minamo,うん、また。ナツノさん
sub-endless-minamo2,fgRemove,survivor05,1.0
sub-endless-minamo2,wait,2
sub-endless-minamo2,removeSurvivor,minamo
sub-endless-minamo2,end,questSuccess
-,,,
sub-endless-hinase1,bg,scenario28
sub-endless-hinase1,playBgm,character07
sub-endless-hinase1,wait,2
sub-endless-hinase1,talk,natsuno,あ......
sub-endless-hinase1,talk,natsuno,バイクの音......
sub-endless-hinase1,talk,natsuno,ヒナセさんかな
sub-endless-hinase1,talk,natsuno,ちょっと追いかけてみるね
sub-endless-hinase1,wait,1
sub-endless-hinase1,fadeOut,1
sub-endless-hinase1,newPage
sub-endless-hinase1,wait,1
sub-endless-hinase1,fadeIn,1
sub-endless-hinase1,wait,2
sub-endless-hinase1,talk,natsuno,こんにちは
sub-endless-hinase1,wait,1
sub-endless-hinase1,fg,survivor07,right-left,1.0,smile
sub-endless-hinase1,talk,hinase,あら
sub-endless-hinase1,talk,hinase,ナツノさん
sub-endless-hinase1,talk,hinase,こんにちは
sub-endless-hinase1,talk,hinase,また会いましたね
sub-endless-hinase1,talk,natsuno,うん
sub-endless-hinase1,talk,natsuno,ヒナセさんのバイクの音聞こえて
sub-endless-hinase1,talk,natsuno,ちょっと離れてたけど、追いかけてきた
sub-endless-hinase1,talk,hinase,まぁ
sub-endless-hinase1,talk,hinase,すみません、気づかなくて
sub-endless-hinase1,talk,hinase,この子、とっても元気なので、乗ってる間他の音ってほとんど聞こえないんですよね
sub-endless-hinase1,talk,natsuno,ま、そのおかげでわたしは気づいたわけだし
sub-endless-hinase1,talk,natsuno,元気でいいんじゃない？
sub-endless-hinase1,talk,hinase,ふふ......そうですね
sub-endless-hinase1,talk,hinase,ナツノさん
sub-endless-hinase1,talk,hinase,またしばらく、ご一緒してもいいですか？
sub-endless-hinase1,fg,survivor00,right-right,0.5,smile
sub-endless-hinase1,talk,natsuno,うん
sub-endless-hinase1,talk,natsuno,もちろん
sub-endless-hinase1,wait,2
sub-endless-hinase1,appendSurvivor,hinase
sub-endless-hinase1,end,questSuccess
-,,,
sub-endless-hinase2,bg,scenario28
sub-endless-hinase2,playBgm,character07
sub-endless-hinase2,wait,2
sub-endless-hinase2,fg,survivor07,right-left,0.5
sub-endless-hinase2,talk,hinase,ナツノさん
sub-endless-hinase2,talk,natsuno,うん？
sub-endless-hinase2,talk,hinase,私、あっちの方に向かうので
sub-endless-hinase2,talk,hinase,この辺りでお別れです
sub-endless-hinase2,talk,natsuno,そっか
sub-endless-hinase2,talk,natsuno,わかった
sub-endless-hinase2,talk,natsuno,気をつけてね
sub-endless-hinase2,talk,hinase,はい
sub-endless-hinase2,talk,hinase,ナツノさんも、お気をつけて
sub-endless-hinase2,talk,natsuno,そういえば......本、書けた？
sub-endless-hinase2,fg,survivor07,right-left,0.5,shy
sub-endless-hinase2,talk,hinase,ふふ
sub-endless-hinase2,talk,hinase,まだまだです
sub-endless-hinase2,talk,hinase,じーっくり、楽しみに待っててください
sub-endless-hinase2,talk,natsuno,うん
sub-endless-hinase2,fg,survivor00,right-right,0.5,smile
sub-endless-hinase2,talk,natsuno,じゃあ、また会ったら、そのときまた訊く
sub-endless-hinase2,talk,hinase,はい
sub-endless-hinase2,talk,hinase,では、また
sub-endless-hinase2,talk,natsuno,うん
sub-endless-hinase2,talk,natsuno,またね
sub-endless-hinase2,fgRemove,survivor07,1.0
sub-endless-hinase2,wait,2
sub-endless-hinase2,removeSurvivor,hinase
sub-endless-hinase2,end,questSuccess
-,,,
sub-endless-akane1,bg,scenario00
sub-endless-akane1,playBgm,character03
sub-endless-akane1,wait,2
sub-endless-akane1,talk,???,おーい
sub-endless-akane1,talk,???,おいおいおーい
sub-endless-akane1,talk,natsuno,......あ
sub-endless-akane1,talk,natsuno,......アカネさん
sub-endless-akane1,fg,survivor03,right-left,1.0
sub-endless-akane1,talk,akane,やっほー
sub-endless-akane1,talk,akane,やほやほやっほー
sub-endless-akane1,fg,survivor03,right-left,0.5,smile
sub-endless-akane1,talk,akane,いえーい、ナツノちゃん、元気？
sub-endless-akane1,talk,natsuno,......
sub-endless-akane1,fg,survivor00,right-right,0.5,zito
sub-endless-akane1,talk,natsuno,アカネさんほどじゃない、かな
sub-endless-akane1,talk,akane,いえーい元気出していこうぜー
sub-endless-akane1,talk,natsuno,......酔っ払い？
sub-endless-akane1,fg,survivor03,right-left,0.5,default
sub-endless-akane1,talk,akane,ちょー素面
sub-endless-akane1,talk,natsuno,......
sub-endless-akane1,talk,akane,ま、せっかくだし
sub-endless-akane1,talk,akane,ちょっとお話していこうよ
sub-endless-akane1,talk,akane,積もる話もあるでしょう
sub-endless-akane1,talk,akane,アタシとナツノちゃんの仲だし
sub-endless-akane1,fg,survivor00,right-right,0.5,default
sub-endless-akane1,talk,natsuno,うん
sub-endless-akane1,talk,natsuno,アカネさんの話、聞かせてよ
sub-endless-akane1,talk,akane,もちろん！
sub-endless-akane1,wait,2
sub-endless-akane1,appendSurvivor,akane
sub-endless-akane1,end,questSuccess
-,,,
sub-endless-akane2,bg,scenario00
sub-endless-akane2,playBgm,character03
sub-endless-akane2,wait,2
sub-endless-akane2,fg,survivor03,right-left,0.5
sub-endless-akane2,talk,akane,さーて
sub-endless-akane2,talk,akane,アタシはそろそろ、放浪の旅に出ようかな
sub-endless-akane2,talk,akane,ナツノちゃん、またね
sub-endless-akane2,fg,survivor00,right-right,0.5,serious
sub-endless-akane2,talk,natsuno,......うん
sub-endless-akane2,talk,natsuno,元気でね
sub-endless-akane2,fg,survivor03,right-left,0.5,smile
sub-endless-akane2,talk,akane,そんな名残惜しそうな顔しないでよー
sub-endless-akane2,talk,akane,ほんと、アカネさんのこと大好きなんだからー
sub-endless-akane2,fg,survivor00,right-right,0.5,depress
sub-endless-akane2,talk,natsuno,......
sub-endless-akane2,talk,natsuno,......名残惜しいっていうか
sub-endless-akane2,talk,natsuno,やっぱりちょっと心配だよ
sub-endless-akane2,fg,survivor03,right-left,0.5,default
sub-endless-akane2,talk,akane,まぁまぁ
sub-endless-akane2,talk,akane,心配してくれるのはうれしいけど
sub-endless-akane2,talk,akane,見てのとおり、案外平気だよ
sub-endless-akane2,talk,akane,むしろ、蹴りの威力は上がったかもしない
sub-endless-akane2,talk,natsuno,......
sub-endless-akane2,talk,akane,......ま
sub-endless-akane2,talk,akane,またちょくちょく会いに行くからさ
sub-endless-akane2,talk,akane,そんな寂しそうな顔しないでよ
sub-endless-akane2,fg,survivor00,right-right,0.5,serious
sub-endless-akane2,talk,natsuno,......うん
sub-endless-akane2,talk,natsuno,気をつけてね
sub-endless-akane2,fg,survivor03,right-left,0.5,smile
sub-endless-akane2,talk,akane,うむ！
sub-endless-akane2,fg,survivor03,right-left,0.5,default
sub-endless-akane2,talk,akane,じゃ、またね！
sub-endless-akane2,talk,natsuno,うん。また
sub-endless-akane2,fgRemove,survivor03,1.0
sub-endless-akane2,wait,2
sub-endless-akane2,removeSurvivor,akane
sub-endless-akane2,end,questSuccess
-,,,
sub-endless-itsuka1,bg,scenario35
sub-endless-itsuka1,playBgm,character06
sub-endless-itsuka1,wait,2
sub-endless-itsuka1,fg,survivor06,right-left,1.0,default
sub-endless-itsuka1,talk,itsuka,よ
sub-endless-itsuka1,talk,natsuno,......あ
sub-endless-itsuka1,talk,natsuno,イツカ
sub-endless-itsuka1,talk,natsuno,やっほ
sub-endless-itsuka1,talk,itsuka,たまたまナツノが近くいるっぽかったから
sub-endless-itsuka1,talk,itsuka,ちょっと来てみた
sub-endless-itsuka1,talk,natsuno,そうなんだ
sub-endless-itsuka1,talk,natsuno,声が聞こえるって、便利だね
sub-endless-itsuka1,fg,survivor00,right-right,0.5,zito
sub-endless-itsuka1,talk,natsuno,......ちょっとやだけど
sub-endless-itsuka1,talk,itsuka,仕方ないじゃん。慣れてよ
sub-endless-itsuka1,talk,natsuno,慣れられるかな......
sub-endless-itsuka1,talk,itsuka,ま、せっかくだし、ちょっと話していこうよ
sub-endless-itsuka1,fg,survivor00,right-right,0.5,smile
sub-endless-itsuka1,talk,natsuno,うん
sub-endless-itsuka1,talk,itsuka,歩き疲れたから、ちょっと車でのんびりさせてほしいし
sub-endless-itsuka1,talk,natsuno,どうぞ
sub-endless-itsuka1,fg,survivor00,right-right,0.5,zito
sub-endless-itsuka1,talk,natsuno,......で、夜中まで起きてこないんでしょ
sub-endless-itsuka1,talk,itsuka,まぁね
sub-endless-itsuka1,wait,1
sub-endless-itsuka1,appendSurvivor,itsuka
sub-endless-itsuka1,end,questSuccess
-,,,
sub-endless-itsuka2,bg,scenario35
sub-endless-itsuka2,playBgm,character06
sub-endless-itsuka2,wait,1
sub-endless-itsuka2,fg,survivor06,right-left,1.0,zito
sub-endless-itsuka2,talk,itsuka,......ふぁああ
sub-endless-itsuka2,talk,itsuka,よく寝た
sub-endless-itsuka2,talk,natsuno,......ほんと
sub-endless-itsuka2,talk,natsuno,よく寝てたね
sub-endless-itsuka2,fg,survivor06,right-left,0.5,default
sub-endless-itsuka2,talk,itsuka,さて
sub-endless-itsuka2,talk,itsuka,そろそろ、また一人旅に出ようかな
sub-endless-itsuka2,fg,survivor00,right-right,0.5,zito
sub-endless-itsuka2,talk,natsuno,自由だなぁ
sub-endless-itsuka2,talk,itsuka,ナツノほどじゃないけどね
sub-endless-itsuka2,talk,natsuno,......わたし、こんな感じに思われてるの？
sub-endless-itsuka2,talk,itsuka,だいたいそうでしょ
sub-endless-itsuka2,talk,natsuno,......まじか
sub-endless-itsuka2,talk,itsuka,別に、そのままでいいと思うけど
sub-endless-itsuka2,talk,itsuka,ま、じゃあ私はいくよ
sub-endless-itsuka2,talk,itsuka,また近くを通ったら、声かける
sub-endless-itsuka2,fg,survivor00,right-right,0.5,default
sub-endless-itsuka2,talk,natsuno,うん
sub-endless-itsuka2,talk,natsuno,気をつけてね
sub-endless-itsuka2,talk,itsuka,うん。じゃ
sub-endless-itsuka2,wait,2
sub-endless-itsuka2,removeSurvivor,itsuka
sub-endless-itsuka2,end,questSuccess
-,,,
sub-endless-meguru1,bg,scenario16
sub-endless-meguru1,playBgm,character04
sub-endless-meguru1,wait,2
sub-endless-meguru1,talk,meguru,お！
sub-endless-meguru1,fg,survivor04,right-left,1.0,default
sub-endless-meguru1,talk,meguru,ナツノちゃんじゃん！
sub-endless-meguru1,talk,meguru,やっほ！
sub-endless-meguru1,talk,natsuno,メグル......
sub-endless-meguru1,talk,natsuno,やっほ
sub-endless-meguru1,talk,natsuno,元気そうだね
sub-endless-meguru1,talk,meguru,まーね！
sub-endless-meguru1,talk,natsuno,妹さんは？　元気？
sub-endless-meguru1,talk,meguru,元気、元気！　元気すぎて困ってるよ
sub-endless-meguru1,talk,natsuno,いいことだね
sub-endless-meguru1,talk,meguru,まーねー
sub-endless-meguru1,talk,meguru,ね！
sub-endless-meguru1,talk,meguru,せっかくだし、ちょっとお話しない？
sub-endless-meguru1,talk,natsuno,うん
sub-endless-meguru1,talk,natsuno,もちろん
sub-endless-meguru1,fg,survivor04,right-left,0.5,smile
sub-endless-meguru1,talk,meguru,いえーい！
sub-endless-meguru1,talk,meguru,そんじゃ、ごーごー！
sub-endless-meguru1,talk,natsuno,......
sub-endless-meguru1,fg,survivor00,right-right,0.5,smile
sub-endless-meguru1,talk,natsuno,元気だなぁ......
sub-endless-meguru1,wait,1
sub-endless-meguru1,appendSurvivor,meguru
sub-endless-meguru1,end,questSuccess
-,,,
sub-endless-meguru2,bg,scenario16
sub-endless-meguru2,playBgm,character04
sub-endless-meguru2,wait,1
sub-endless-meguru2,fg,survivor04,right-left,1.0,default
sub-endless-meguru2,talk,meguru,さて
sub-endless-meguru2,talk,meguru,かわいい妹が待ってるし
sub-endless-meguru2,talk,meguru,うちは、ここでさよならしよっかな！
sub-endless-meguru2,talk,natsuno,あ、うん
sub-endless-meguru2,talk,natsuno,気をつけてね
sub-endless-meguru2,talk,meguru,うむ！
sub-endless-meguru2,fg,survivor04,right-left,0.5,smile
sub-endless-meguru2,talk,meguru,じゃ、ナツノちゃん、またね！
sub-endless-meguru2,talk,natsuno,うん。また
sub-endless-meguru2,talk,meguru,じゃーねー！
sub-endless-meguru2,talk,natsuno,ばいばい
sub-endless-meguru2,talk,natsuno,妹ちゃんにも、よろしく
sub-endless-meguru2,talk,meguru,おっけーい！
sub-endless-meguru2,talk,meguru,じゃ！
sub-endless-meguru2,wait,1
sub-endless-meguru2,removeSurvivor,meguru
sub-endless-meguru2,end,questSuccess
-,,,
