id,command,arg0<jpn>,arg1<jpn>,arg2,arg3,arg4
-,,,
meguru1-1,bg,scenario16
meguru1-2,talk,natsuno,つまり、絵を描く道具ってこと？
meguru1-2,fg,survivor04,right-left,0.5,default,mask
meguru1-2,talk,meguru,そ！
meguru1-2,talk,meguru,そゆこと！
meguru1-2,talk,meguru,最近手持ちの道具もだいぶだめになってきちゃって
meguru1-2,talk,meguru,そろそろ別の見つけないとなって！
meguru1-2,talk,natsuno,なんだ......
meguru1-2,talk,natsuno,もったいぶるから、何かと思ったけど
meguru1-2,fg,survivor04,right-left,0.5,depress,mask
meguru1-2,talk,meguru,『なんだ』......？
meguru1-2,talk,meguru,......
meguru1-2,fg,survivor04,right-left,0.5,despair,mask
meguru1-2,talk,meguru,......すみません......
meguru1-2,talk,meguru,つまんない女でごめんなさい......
meguru1-2,talk,meguru,消えてなくなります......
meguru1-2,fg,survivor00,right-right,0.5,zito
meguru1-2,talk,natsuno,......
meguru1-2,fg,survivor00,right-right,0.5,default
meguru1-2,talk,natsuno,......まぁ、でも
meguru1-2,talk,natsuno,絵を描く道具だって、壊れちゃったりするんだよね
meguru1-2,fg,survivor04,right-left,0.5,default,mask
meguru1-2,talk,meguru,うん......？　まぁ、ものによっては？
meguru1-2,talk,natsuno,絵だけに限ったことじゃないんだけど......
meguru1-2,talk,natsuno,そういうの、今、お店とかに残ってる分は探して使えるけどさ
meguru1-2,talk,natsuno,いつか、そういうの全部使い切っちゃったら、絵描けなくなっちゃうのかな
meguru1-2,talk,natsuno,絵具とか、きっといつかなくなるよね
meguru1-2,talk,meguru,うーむむ......
meguru1-2,talk,meguru,メグルちゃん的には、絵具がなくなるより、人が絶滅しちゃう方が早くない？　って感じ？
meguru1-2,talk,natsuno,......それもそっか
meguru1-2,talk,meguru,ま、なくなったら自分でつくるんじゃない？
meguru1-2,talk,natsuno,絵具って、つくれるの？
meguru1-2,talk,meguru,材料があれば？
meguru1-2,talk,natsuno,絵具の材料って......何？
meguru1-2,talk,meguru,えー......と
meguru1-2,talk,meguru,色を出すのは、石とか土？
meguru1-2,talk,natsuno,そうなんだ。初めて知ったかも
meguru1-2,talk,natsuno,メグル、つくったことあるの？
meguru1-2,talk,meguru,まぁ......何回かだけ？
meguru1-2,talk,natsuno,へー......すご
meguru1-2,fg,survivor04,right-left,0.5,smile,mask
meguru1-2,talk,meguru,へへ......
meguru1-2,talk,meguru,て、照れるっす......
meguru1-2,talk,natsuno,まぁ......そうだよね
meguru1-2,talk,natsuno,絵具だってずっと昔からあるし
meguru1-2,talk,natsuno,筆も、たぶん動物の毛とかでできてるんだよね？
meguru1-2,talk,natsuno,じゃあ、なくなっちゃうこともないのかな
meguru1-2,fg,survivor04,right-left,0.5,default,mask
meguru1-2,talk,meguru,......
meguru1-2,talk,meguru,材料が残ってても、製法とか、知識が失われる方が早そうじゃん？
meguru1-2,talk,meguru,たぶん、もう失われちゃったものがいーっぱいあって
meguru1-2,talk,meguru,二度と見ることができない絵とか、再現できない技法ばっかりなんだろうなーって感じしない？
meguru1-2,talk,natsuno,確かに......
meguru1-2,talk,meguru,ま！
meguru1-2,talk,meguru,そんなのもうどーしよーもない！
meguru1-2,talk,meguru,気にしない気にしない！
meguru1-2,talk,meguru,そんなの気にしてたら、病む！
meguru1-2,talk,natsuno,......
meguru1-2,fg,survivor00,right-right,0.5,smile
meguru1-2,talk,natsuno,メグルは、おもしろい人だね
meguru1-2,talk,meguru,......
meguru1-2,fg,survivor04,right-left,0.5,depress,mask
meguru1-2,talk,meguru,す、ストレート嫌味......？
meguru1-2,fg,survivor00,right-right,0.5,zito
meguru1-2,talk,natsuno,違うよ......
meguru1-2,wait,2
meguru1-2,end,questSuccess
-,,,
meguru1-3,bg,scenario16
meguru1-3,playBgm,character04
meguru1-3,talk,natsuno,メグルって、どうして絵描いてるの？
meguru1-3,fg,survivor04,right-left,1.0,depress,mask
meguru1-3,talk,meguru,ええ......
meguru1-3,talk,meguru,そ、そこに山があるから......？
meguru1-3,talk,natsuno,......
meguru1-3,talk,natsuno,きっかけとか、あったの？
meguru1-3,fg,survivor04,right-left,0.5,default,mask
meguru1-3,talk,meguru,きっかけ......
meguru1-3,talk,meguru,うむむむ
meguru1-3,talk,meguru,別にないかも
meguru1-3,talk,natsuno,......
meguru1-3,talk,meguru,......
meguru1-3,talk,natsuno,............
meguru1-3,talk,meguru,............
meguru1-3,fg,survivor04,right-left,0.5,depress,mask
meguru1-3,talk,meguru,......か、会話ヘタでサーセン......
meguru1-3,fg,survivor04,right-left,0.5,default,mask
meguru1-3,talk,meguru,まぁ......
meguru1-3,talk,meguru,あるとしたら、ママ......すかね......？
meguru1-3,talk,natsuno,お母さん？
meguru1-3,talk,meguru,そ！
meguru1-3,talk,meguru,ママが絵好きだったんだよね
meguru1-3,talk,meguru,有名な画家とかじゃないけど、絵描いてて
meguru1-3,talk,meguru,小さい頃から、美術館とかよく連れて行ってもらってたし
meguru1-3,talk,meguru,そーゆーのかなぁ
meguru1-3,talk,meguru,あと、ちょっと間だけだけど、ママの知り合いの人に教えてもらったり
meguru1-3,talk,meguru,家庭教師みたいな感じで
meguru1-3,talk,natsuno,絵の家庭教師ってこと？
meguru1-3,talk,meguru,うん
meguru1-3,talk,natsuno,そういうのもあるんだ
meguru1-3,talk,meguru,あるんじゃない？　っていうか、あった
meguru1-3,talk,natsuno,へぇ......なんか知らない世界かも
meguru1-3,talk,meguru,別にふつーじゃん？
meguru1-3,talk,meguru,学校とそんな変わんないし。美術の授業とかあったっしょ？　図画工作？
meguru1-3,talk,natsuno,まぁ、確かに......
meguru1-3,talk,natsuno,中学生の頃までは、学校で絵とか書いてたなぁ。苦手だった
meguru1-3,talk,natsuno,高校生になってからは、美術って選択授業だったし
meguru1-3,talk,natsuno,受けなかったから、そういえば、全然絵とか描かなくなったなぁ
meguru1-3,talk,meguru,うちは、そもそも授業まともに受けてない！
meguru1-3,fg,survivor00,right-right,0.5,zito
meguru1-3,talk,natsuno,......
meguru1-3,talk,meguru,まぁ、でもさー
meguru1-3,talk,meguru,そうやって、学校で絵とか描いてくれるおかげで
meguru1-3,talk,meguru,学校とか子供のいた家あさると、だいたい絵具とか一通りあって
meguru1-3,talk,meguru,助かっております！　って感じ？
meguru1-3,fg,survivor00,right-right,0.5,default
meguru1-3,talk,natsuno,そうだね......
meguru1-3,talk,natsuno,でも、そういうのって、なんていうかいい絵具じゃなかったりしないの？
meguru1-3,talk,meguru,えー？
meguru1-3,talk,meguru,そんな贅沢言ってらんなくない？
meguru1-3,talk,natsuno,それはそうだけど
meguru1-3,talk,meguru,んー
meguru1-3,talk,meguru,絵具もいろいろだけどねー
meguru1-3,talk,meguru,お店とかじゃないと、絵描いてる人が住んでるかどうかなんてわかんないし？
meguru1-3,talk,meguru,お気に入りのやつ見つけるのとか、ムリゲーすぎ？
meguru1-3,talk,natsuno,そっか......
meguru1-3,talk,natsuno,そういうちゃんとした道具持ってるような人って、いい家に住んでそうな気もするけど
meguru1-3,talk,natsuno,そんなことない？
meguru1-3,talk,meguru,えー？　そーでもないんじゃない？
meguru1-3,talk,meguru,ビンボーな画家さんだっていっぱいいそうじゃん？
meguru1-3,talk,meguru,ぜーんぜん知らないけど
meguru1-3,talk,natsuno,ちなみに、メグルの家はどんな感じだったの？
meguru1-3,talk,meguru,えー？
meguru1-3,talk,meguru,ん－......
meguru1-3,fg,survivor04,right-left,0.5,smile,mask
meguru1-3,talk,meguru,ナイショ！
meguru1-3,wait,2
meguru1-3,end,questSuccess
-,,,
meguru1-4,bg,scenario16
meguru1-4,playBgm,character04
meguru1-4,talk,natsuno,......最近、ちょっと思ってたんだけどさ
meguru1-4,talk,natsuno,なんか、ずっと同じ場所ぐるぐるしてない？
meguru1-4,fg,survivor04,right-left,1.0,despair,mask
meguru1-4,talk,meguru,ギクぅ！！！
meguru1-4,fg,survivor04,right-left,0.5,depress,mask
meguru1-4,talk,meguru,そそそそそそんなこと！
meguru1-4,talk,meguru,なななないんじゃない？？？
meguru1-4,fg,survivor00,right-right,0.5,zito
meguru1-4,talk,natsuno,......隠す気なくない？
meguru1-4,talk,meguru,ごごごめんなさい！
meguru1-4,talk,meguru,許して！
meguru1-4,talk,meguru,怒らないで！
meguru1-4,talk,natsuno,別に怒らないけど......
meguru1-4,talk,natsuno,この辺り、何かあるの？
meguru1-4,talk,meguru,ええーっと......
meguru1-4,talk,meguru,あるっちゃ、あるんすけど......
meguru1-4,talk,meguru,へへへ......
meguru1-4,talk,natsuno,......
meguru1-4,talk,meguru,......
meguru1-4,talk,natsuno,............
meguru1-4,fg,survivor04,right-left,0.5,despair,mask
meguru1-4,talk,meguru,............
meguru1-4,talk,natsuno,........................
meguru1-4,talk,meguru,......すんません......
meguru1-4,talk,meguru,なんてゆーか
meguru1-4,talk,meguru,えー......と......
meguru1-4,fg,survivor04,right-left,0.5,depress,mask
meguru1-4,talk,meguru,......そ、そう！
meguru1-4,fg,survivor04,right-left,0.5,default,mask
meguru1-4,talk,meguru,うちがなんで絵描くようになったか、ナツノちゃん、前聞きたがってたじゃないっすか！
meguru1-4,talk,natsuno,え、うん......
meguru1-4,talk,meguru,ママが絵好きだったのは、話したよね
meguru1-4,talk,meguru,パパもそんな感じで
meguru1-4,talk,meguru,パパはどっちかっていうと、音楽の方が好きだったけど
meguru1-4,talk,meguru,演奏会とか、よく連れて行ってくれて
meguru1-4,fg,survivor00,right-right,0.5,default
meguru1-4,talk,natsuno,演奏会......？
meguru1-4,talk,natsuno,ライブとかってこと......？
meguru1-4,talk,meguru,ライブっちゃライブ？
meguru1-4,talk,meguru,オーケストラのコンサートって、ライブ？
meguru1-4,talk,natsuno,ライブ......とは言わないかも
meguru1-4,talk,natsuno,......
meguru1-4,talk,natsuno,前からちょっと思ってたけど
meguru1-4,talk,natsuno,メグルって、ご令嬢......？
meguru1-4,fg,survivor04,right-left,0.5,depress,mask
meguru1-4,talk,meguru,ご、ご令嬢......？
meguru1-4,talk,meguru,ご令嬢って、なんかかっこいいっすね......
meguru1-4,talk,natsuno,......
meguru1-4,fg,survivor04,right-left,0.5,default,mask
meguru1-4,talk,meguru,でも、まぁ......当たらすとも遠からずというか
meguru1-4,talk,meguru,パパは代々士業の家で、ママはバイオリン奏者で
meguru1-4,talk,meguru,なんていうか......まぁまぁおカタイ家......だったんだよね
meguru1-4,talk,natsuno,へ、へぇ......
meguru1-4,talk,meguru,意外......っすよね
meguru1-4,talk,natsuno,うん......
meguru1-4,talk,meguru,まぁ、だから、うちはこんな感じになったっていうか
meguru1-4,talk,meguru,子供の頃から、絵画とかクラシックとか生け花とかバレエとかさせられてて
meguru1-4,talk,meguru,若かりし頃のメグルちゃんは、ある日突然、全部むりになって
meguru1-4,talk,meguru,何もかも辞めて、家を飛び出して
meguru1-4,talk,meguru,今に至る......的な？
meguru1-4,talk,natsuno,なんか、そう言われるとちょっと納得かも
meguru1-4,talk,natsuno,いろいろ大変そうだね......
meguru1-4,talk,meguru,......けど
meguru1-4,pauseBgm
meguru1-4,talk,meguru,生け花も、バレエも、バイオリンも、嫌いになって辞めちゃったけど
meguru1-4,talk,meguru,でも......絵を描くのだけは、ずっと好きで
meguru1-4,talk,meguru,うちがやりたくて始めたわけじゃないし、他のと同じくらい、親にやらされてたって感じなんだけど
meguru1-4,talk,meguru,でも、どうしても、やめられなくて
meguru1-4,talk,meguru,だから......うちは絵を描いてるんだ
meguru1-4,talk,natsuno,......
meguru1-4,talk,natsuno,......そっか
meguru1-4,wait,2
meguru1-4,end,questSuccess
-,,,
meguru1-5,bg,location10
meguru1-5,playBgm,environment01
meguru1-5,talk,natsuno,......ここが
meguru1-5,talk,natsuno,メグルの目指してた場所？
meguru1-5,fg,survivor04,right-left,1.0,default,mask
meguru1-5,talk,meguru,......
meguru1-5,talk,meguru,そう......っすね
meguru1-5,talk,natsuno,ここ......
meguru1-5,talk,natsuno,メグルの家？
meguru1-5,talk,meguru,......うん
meguru1-5,talk,natsuno,......
meguru1-5,talk,natsuno,なんていうか
meguru1-5,talk,natsuno,想像以上、かも
meguru1-5,talk,natsuno,本当にご令嬢じゃん
meguru1-5,talk,meguru,ははは......
meguru1-5,talk,meguru,ご令嬢かどうかはわかんないけど......
meguru1-5,talk,meguru,まぁ、うちなんかにはもったいないような家、っすよね
meguru1-5,talk,natsuno,ここで生まれて
meguru1-5,talk,natsuno,このギャルが育つのかぁ
meguru1-5,talk,meguru,......
meguru1-5,fg,survivor04,right-left,0.5,despair,mask
meguru1-5,talk,meguru,......できの悪い娘でごめんなさい......
meguru1-5,talk,natsuno,いや......
meguru1-5,talk,natsuno,人は見かけによらないねってだけで
meguru1-5,talk,natsuno,前ちょっと話してくれて、納得したし
meguru1-5,talk,natsuno,家がこうだから、むしろ反発しちゃうというか
meguru1-5,talk,meguru,......そう、っすね
meguru1-5,pauseBgm
meguru1-5,talk,meguru,......
meguru1-5,fg,survivor04,right-left,0.5,default,mask
meguru1-5,talk,meguru,......うちは
meguru1-5,playBgm,scenario04
meguru1-5,talk,meguru,この家のこと、あんま好きじゃないし
meguru1-5,talk,meguru,親ともずっと喧嘩してた
meguru1-5,talk,meguru,親が買ってくれた服は捨てて、習い事も全部辞めて
meguru1-5,talk,meguru,高三の頃は、ほとんど家に帰らんような生活してたんだよね
meguru1-5,talk,meguru,......けど
meguru1-5,talk,meguru,でもね、それでも
meguru1-5,talk,meguru,絵描くことだけは......忘れらんなくって
meguru1-5,talk,meguru,それも、親にやれって言われて始めたことなんだけど
meguru1-5,talk,meguru,そういうの、ほんとに嫌なんだけど
meguru1-5,talk,meguru,でも......どうしても、辞められなかった
meguru1-5,talk,meguru,こんなことになって、一人きりになって
meguru1-5,talk,meguru,それから、ずっと考えてるんだよね
meguru1-5,talk,meguru,うち、なんで絵描いてるんだろうって
meguru1-5,talk,meguru,なんで好きなんだろう、ってのもあるし
meguru1-5,talk,meguru,絵を描くって、うちにとってなんなんだろう、みたいな
meguru1-5,talk,meguru,絵を描くって......どういうことなんだろう、的な
meguru1-5,talk,natsuno,......
meguru1-5,fg,survivor00,right-right,0.5,depress
meguru1-5,talk,natsuno,ごめん
meguru1-5,talk,natsuno,よく、わかんないかも
meguru1-5,talk,meguru,はは......
meguru1-5,talk,meguru,そうっすよね
meguru1-5,talk,meguru,うちにも、よくわかんないもん
meguru1-5,talk,meguru,なんていうか......
meguru1-5,talk,meguru,どっちかっていうと『辞めちゃったらどうなるんだろう』って感じかも
meguru1-5,talk,meguru,辞めちゃえるのかな、とか
meguru1-5,talk,meguru,辞めてもまた描きたくなっちゃうかもしんないし
meguru1-5,talk,meguru,それに......
meguru1-5,talk,meguru,......
meguru1-5,talk,meguru,......めっちゃ大げさなんだけどさ
meguru1-5,talk,meguru,ママも、おばあちゃんも、その親も、みんな絵好きで
meguru1-5,talk,meguru,みんな絵描く人なんだよね
meguru1-5,talk,meguru,だからうちも描いてる......みたいな、押しつけられるのは嫌なんだけど
meguru1-5,talk,meguru,でも、ずっと続いてきたものではあってさ
meguru1-5,talk,meguru,嫌だけど......でも、うちがそれを途絶えさせるのは、それはそれで嫌だなぁって思う気持ちもあって
meguru1-5,talk,meguru,それだけじゃないんだけど......
meguru1-5,talk,meguru,いろんな気持ちがあって......うーむむむ
meguru1-5,talk,meguru,とにかく、なんか、フクザツって感じ
meguru1-5,fg,survivor00,right-right,0.5,serious
meguru1-5,talk,natsuno,......
meguru1-5,talk,natsuno,メグルは、絵描くの好きなの？
meguru1-5,talk,meguru,好きっすよ
meguru1-5,talk,natsuno,好きだから描いてる......ってだけじゃだめなの？
meguru1-5,talk,meguru,うーむん......
meguru1-5,talk,meguru,好きって気持ちだけで続けてるって感じもしないんすよね
meguru1-5,talk,meguru,なんていうか......使命感？　みたいな
meguru1-5,talk,meguru,好きだからってだけじゃなくて、描かなきゃって思うこともある、みたいな
meguru1-5,talk,meguru,別に、先祖代々そうだからってわけでもなく
meguru1-5,talk,meguru,描くの辞めちゃったら......それだけじゃない、いろんなことを失っちゃう気がするとか
meguru1-5,talk,meguru,......本当は、別にそんなことないかもしれないけど
meguru1-5,talk,meguru,でも、好きだから、楽しいからってだけで続けてるわけじゃないってのは、そうだと思うっす
meguru1-5,talk,meguru,......
meguru1-5,talk,meguru,この家に戻ってきたら
meguru1-5,talk,meguru,そういうのが、なんかわかったり晴れたりするかもって思ったんだけど
meguru1-5,talk,meguru,ぜーんぜん！
meguru1-5,talk,meguru,なーんも感じない！
meguru1-5,talk,meguru,昔のまんま、あんま好きじゃない我が家って感じ
meguru1-5,talk,meguru,......
meguru1-5,wait,2
meguru1-5,end,questSuccess
-,,,
meguru1-6,bg,scenario16
meguru1-6,playBgm,character04
meguru1-6,talk,natsuno,......メグル、これからどうするの？
meguru1-6,fg,survivor04,right-left,1.0,default,mask
meguru1-6,talk,meguru,えー？
meguru1-6,fg,survivor04,right-left,0.5,smile,mask
meguru1-6,talk,meguru,どうしてほしい？
meguru1-6,talk,meguru,ナツノちゃんは、どうしてほしい？？
meguru1-6,talk,natsuno,......
meguru1-6,talk,natsuno,......や、別に
meguru1-6,talk,natsuno,わたしはどうでもいいというか
meguru1-6,talk,natsuno,メグルの好きにすればいいと思うけど
meguru1-6,talk,meguru,......
meguru1-6,fg,survivor04,right-left,0.5,depress,mask
meguru1-6,talk,meguru,............
meguru1-6,talk,meguru,......怒ってる？
meguru1-6,talk,natsuno,怒ってないよ
meguru1-6,talk,meguru,ほんとに？
meguru1-6,talk,natsuno,うん
meguru1-6,talk,meguru,うちの都合でいろいろ連れまわしたけど？
meguru1-6,talk,meguru,わけわかんない話、いろいろ聞かせたけど？
meguru1-6,talk,meguru,メグルちゃんのこと、嫌いにならない？
meguru1-6,talk,natsuno,ならないよ
meguru1-6,talk,natsuno,......たぶん
meguru1-6,talk,meguru,......
meguru1-6,fg,survivor04,right-left,0.5,despair,mask
meguru1-6,talk,meguru,すみませんでした......
meguru1-6,talk,meguru,どうか......これからも仲良くしてください......
meguru1-6,fg,survivor00,right-right,0.5,zito
meguru1-6,talk,natsuno,......
meguru1-6,fg,survivor00,right-right,0.5,default
meguru1-6,talk,natsuno,......で、どうするの？
meguru1-6,fg,survivor04,right-left,0.5,default,mask
meguru1-6,talk,meguru,んーむ......
meguru1-6,talk,meguru,絵描く道具は、家からいっぱい持ち出せたし
meguru1-6,talk,meguru,また一人で放浪の旅かなー
meguru1-6,pauseBgm
meguru1-6,talk,meguru,......結局
meguru1-6,playBgm,scenario03
meguru1-6,talk,meguru,絵描く理由とか
meguru1-6,talk,meguru,それで何になるとか
meguru1-6,talk,meguru,そんなの、全然わかんないし
meguru1-6,talk,meguru,どーだっていいような気もする
meguru1-6,talk,meguru,どうせ世の中はめちゃめちゃだし
meguru1-6,talk,meguru,うちだって明日には死ぬかもだし
meguru1-6,talk,meguru,どーでもいいよねって感じ？
meguru1-6,talk,meguru,......
meguru1-6,talk,meguru,......けど
meguru1-6,talk,meguru,世の中はめちゃめちゃだし、終わっちゃってるし
meguru1-6,talk,meguru,今まであった生活とか、文化とか、いろんなものが消えちゃったんだろーなって思うけど
meguru1-6,talk,meguru,でも、絵描いてるとさ
meguru1-6,talk,meguru,世界が終わっても社会がなくなっても
meguru1-6,talk,meguru,今までずっと続いてきた全部が、消えていなくなったわけじゃないんだって......思うんだよね
meguru1-6,talk,meguru,ママに勧められて描き始めて
meguru1-6,talk,meguru,いろんな先生に教えてもらったり
meguru1-6,talk,meguru,過去のいろんな画家の絵を見て影響受けたり
meguru1-6,talk,meguru,大げさだけど、昔からずっと続いてる流れみたいなものの一部なわけじゃん？
meguru1-6,talk,meguru,うちが描いてるのは......そういう長い長い時間の全部でできた絵なのかもって感じで
meguru1-6,talk,meguru,なんか、それってすごくない？
meguru1-6,talk,meguru,絵描くのが好きとか楽しいとかじゃなくても
meguru1-6,talk,meguru,そんな感じで、ずっと受け継がれてきたものを続けていくってだけでも
meguru1-6,talk,meguru,描いていかないとなぁ......って思うんだよね
meguru1-6,talk,meguru,......
meguru1-6,talk,meguru,............
meguru1-6,talk,meguru,........................
meguru1-6,pauseBgm
meguru1-6,fg,survivor04,right-left,0.5,despair,mask
meguru1-6,talk,meguru,......いや普通に恥ずいこと言ってね？
meguru1-6,fg,survivor00,right-right,0.5,zito
meguru1-6,talk,natsuno,......
meguru1-6,playBgm,character04
meguru1-6,talk,meguru,い、今の忘れてもらってもいいっすか......？
meguru1-6,talk,natsuno,......
meguru1-6,talk,natsuno,......いいこと言ってるなって思ってたのに
meguru1-6,talk,natsuno,台なしだよ
meguru1-6,talk,meguru,いや恥ずいっしょ......
meguru1-6,talk,meguru,うわー......まじきつくなってきた
meguru1-6,talk,meguru,死のう......
meguru1-6,talk,meguru,グッバイ
meguru1-6,talk,meguru,来世はセスジアカムネグモにしてください......
meguru1-6,talk,natsuno,......
meguru1-6,talk,natsuno,......じゃあ
meguru1-6,talk,natsuno,メグルは、今までの美術史を一身に背負っていくために
meguru1-6,talk,natsuno,これからも絵を描き続けてください
meguru1-6,fg,survivor04,right-left,0.5,depress,mask
meguru1-6,talk,meguru,おも......
meguru1-6,talk,natsuno,じゃ、わたしはここで
meguru1-6,talk,natsuno,がんばってね
meguru1-6,talk,meguru,も、もうちょっとだけ
meguru1-6,talk,meguru,一緒にいちゃだめ......？
meguru1-6,talk,natsuno,だめ
meguru1-6,talk,natsuno,メグル、わたしと一緒だと絵描かないし
meguru1-6,talk,natsuno,一人孤独にがんばって
meguru1-6,talk,meguru,うう......
meguru1-6,talk,meguru,メンタルにくる......
meguru1-6,talk,natsuno,ばいばい
meguru1-6,fg,survivor04,right-left,0.5,despair,mask
meguru1-6,talk,meguru,......はい
meguru1-6,talk,meguru,がんばります
