id,command,arg0<jpn>,arg1<jpn>,arg2,arg3
-,,,
akane2-1,bg,scenario01
akane2-3,talk,natsuno,それで、もう大丈夫なの？
akane2-3,talk,akane,......
akane2-3,fg,survivor03,right-left,0.5,serious
akane2-3,talk,akane,......そうだね
akane2-3,playBgm,scenario04
akane2-3,talk,akane,普通の怪我じゃないし
akane2-3,talk,akane,感染してた足を切り落として、それで解決ってわけにはいかないかもね
akane2-3,talk,akane,ほかの病気みたいに、身体の別の場所に転移するかもしれない
akane2-3,talk,akane,転移とかじゃなくても、また別のところで発生するかもしれない
akane2-3,talk,akane,切り落としたからもう安心ってことは......全然ない
akane2-3,talk,akane,......
akane2-3,talk,akane,......それは、正直、怖いよ
akane2-3,talk,akane,身体中が金属に変わっちゃう夢なんか、しょっちゅう見る
akane2-3,talk,akane,切り落としたって、意味ないんじゃないかってずっと思ってる
akane2-3,talk,akane,......でもね
akane2-3,talk,akane,怖くて、不安だけど
akane2-3,talk,akane,でも、これって、もしかしたら誰かの希望なんじゃないかとも思うんだ
akane2-3,talk,akane,幸い、今のところは転移とか再発もなさそうで
akane2-3,talk,akane,前に見てた変な夢も、もう見なくなった
akane2-3,talk,akane,もし、このままずっと平気でいられたら
akane2-3,talk,akane,感染した部分を切り落とすことに、一応の効果があるってことなのかもしれない
akane2-3,talk,akane,......
akane2-3,talk,akane,......ま、それだって、ただの偶然で
akane2-3,talk,akane,アタシがたまたまそうだったってだけかもしれないけどね
akane2-3,talk,akane,それでも......
akane2-3,talk,akane,アタシがこうして生き続けることが、誰かの希望になるなら
akane2-3,talk,akane,そういう希望であり続けるために、生きていきたいって思う
akane2-3,talk,akane,原因がわからなくても、根本的な治療にならなくても
akane2-3,talk,akane,ちょっとでも延命になるなら
akane2-3,talk,akane,感染して、でもまだ意識があって怯えながら生きてる人にとって少しでも希望になるなら
akane2-3,talk,akane,それって、いいことじゃない？
akane2-3,talk,natsuno,......
akane2-3,fg,survivor00,right-right,0.5,smile
akane2-3,talk,natsuno,......ほんとに
akane2-3,talk,natsuno,アカネさんは、たくましいなぁ
akane2-3,fg,survivor03,right-left,0.5,smile
akane2-3,talk,akane,はっはっは
akane2-3,talk,akane,ナツノちゃんほどじゃないけどね？
akane2-3,fg,survivor00,right-right,0.5,serious
akane2-3,talk,natsuno,......それが
akane2-3,talk,natsuno,アカネさんの、やるべきこと？
akane2-3,fg,survivor03,right-left,0.5,default
akane2-3,talk,akane,......
akane2-3,talk,akane,......さて
akane2-3,talk,akane,『やるべきこと』とか、かっこよく言えるようなことじゃないかな
akane2-3,talk,akane,足を失って、調べても何もわからなくて、それでなし崩し的になんとか見つけた拠りどころ......
akane2-3,talk,akane,っていうのが、正直な気持ちだと思う
akane2-3,talk,akane,この状況をポジティブに受け入れる方便が、ほかになかったってだけ
akane2-3,talk,akane,だからまぁ、自分を納得させるための方便なんだけど
akane2-3,talk,akane,でも、自分がこうやって生きてるってことが、アタシにとって
akane2-3,talk,akane,それからアタシ以外の誰かにとって、何か意味あることであり続けるって思えるなら
akane2-3,talk,akane,理不尽なこの状況を、ちょっとでも受け入れられるかな......って感じ？
akane2-3,talk,natsuno,......そっか
akane2-3,talk,akane,ものは考えようだし、考えようっていうなら、できれば幸せに生きていたい。幸せに生きていてほしい
akane2-3,talk,akane,いろんな患者さんと向き合って、そういうことを思うんだって
akane2-3,talk,akane,......それも、あのおばちゃんから教わったこと
akane2-3,talk,natsuno,......
akane2-3,talk,natsuno,知らない人だけど
akane2-3,talk,natsuno,いい、おばちゃんだね
akane2-3,talk,akane,はは
akane2-3,talk,akane,いいおばちゃんだよ。ほんと
akane2-3,talk,akane,自分の未熟っぷりを見せつけられるみたいで、ヘコむけどね
akane2-3,talk,akane,......でも
akane2-3,talk,akane,今、そういう人に出会えて、本当によかったって思う
akane2-3,wait,2
akane2-3,end,questSuccess
-,,,
akane2-4,bg,scenario00
akane2-4,fg,survivor00,right-right,0,serious
akane2-4,fg,survivor03,right-left,0,default
akane2-4,playBgm,character03
akane2-4,wait,1
akane2-4,talk,akane,さーて
akane2-4,talk,akane,アタシはまた、ふらふらしてこようかな
akane2-4,talk,natsuno,......そのおばちゃんのところ？
akane2-4,talk,akane,うーん
akane2-4,talk,akane,ま、見つかったらそれもいいかもね
akane2-4,talk,akane,でもまぁ、ちょっとあてもなくふらふらしようかなって
akane2-4,talk,akane,アタシみたいにさ
akane2-4,talk,akane,感染したけど、まだ意識のある人とか
akane2-4,talk,akane,同じように切り落としたり、摘出した人だってどこかにいるはずだし
akane2-4,talk,akane,そういう人と会えたらいいなって
akane2-4,talk,natsuno,......そっか
akane2-4,talk,natsuno,お医者さんみたいなことするの？
akane2-4,talk,akane,んー......
akane2-4,talk,akane,アタシだけじゃ、さすがに手術みたいなことはできないし
akane2-4,talk,akane,それはまだ考えてないかな
akane2-4,talk,akane,とりあえず、いろんな話聞いて、情報交換から始めようと思ってる
akane2-4,talk,natsuno,......一人で大丈夫？
akane2-4,talk,akane,だいじょーぶ
akane2-4,talk,akane,この足ともそこそこ仲よくなってきたし
akane2-4,talk,akane,ね
akane2-4,fg,survivor00,right-right,0.5,depress
akane2-4,pauseBgm
akane2-4,talk,natsuno,......
akane2-4,talk,akane,......ナツノちゃん
akane2-4,playBgm,scenario03
akane2-4,talk,akane,安心してよ
akane2-4,talk,akane,アタシ、生きるよ
akane2-4,talk,akane,足を切ったアタシがこうして生きてることが、同じような境遇の人たちの希望になるかもしれない
akane2-4,talk,akane,だから、アタシは生き続けないといけない
akane2-4,talk,akane,生きて生きて、生き続けて、希望はあるって証明し続けないといけない
akane2-4,talk,akane,でしょ？
akane2-4,talk,akane,こんなこと言って、ぽっくり死んじゃったら恥ずかしいじゃん？
akane2-4,talk,akane,それに......
akane2-4,talk,akane,誰かの希望になるかもしれないっていうのは
akane2-4,talk,akane,アタシにとっての希望でもある
akane2-4,talk,akane,アタシが、こうして生きることの意味になるから
akane2-4,talk,akane,だから......アタシ、今まで以上に、生きるよ
akane2-4,talk,natsuno,......
akane2-4,talk,natsuno,......わかった
akane2-4,talk,natsuno,アカネさんが、そうしたいなら
akane2-4,talk,natsuno,止めない
akane2-4,talk,akane,ははは
akane2-4,talk,akane,ナツノちゃんも聞き分けがよくなったなぁ
akane2-4,talk,natsuno,......
akane2-4,talk,akane,......これが今生の別れってわけじゃないよ
akane2-4,talk,akane,また会えるし、会いに行く
akane2-4,talk,natsuno,......うん
akane2-4,talk,akane,だから、またね
akane2-4,fg,survivor00,right-right,0.5,serious
akane2-4,talk,natsuno,うん
akane2-4,talk,natsuno,いってらっしゃい
akane2-4,talk,natsuno,アカネさん
akane2-4,talk,akane,うん
akane2-4,talk,akane,ありがとね、ナツノちゃん
akane2-4,fg,survivor03,right-left,0.5,smile
akane2-4,talk,akane,いってきます
akane2-4,wait,3
akane2-4,removeSurvivor,akane
akane2-4,end,ending,akane2
-,,,
