id,type,word0<jpn>,word1<jpn>
play00,play,Play,play
play01,play,Play,play
play02,play,Play,play
play03,play,Let's play,let's play
twist00,twist,Twist,twist
twist01,twist,Twist it,twist it
twist02,twist,Twist it,twist it
twist03,twist,Let's twist it,let's twist it
cut00,cut,Cut,cut
cut01,cut,Cut it,cut it
cut02,cut,Split,split
cut03,cut,Let's cut it,let's cut it
sit00,sit,Sit,sit
sit01,sit,Lay,lay
sit02,sit,Rest,rest
sit03,sit,Let's sit,let's sit
burn00,burn,Burn,burn
burn01,burn,Burn it,burn it
burn02,burn,Ignite,ignite
burn03,burn,Let's burn it,let's burn it
connect00,connect,Connect,connect
connect01,connect,Link,link
connect02,connect,Connect it,connect it
connect03,connect,Let's connect it,let's connect it
break00,break,Break,break
break01,break,Break it,break it
break02,break,Destroy,destroy
break03,break,Let's break it,let's break it
observe00,observe,Observe,observe
observe01,observe,Observe it,observe it
observe02,observe,Observe it,observe it
observe03,observe,Observe,observe
observe04,observe,Let's observe,let's observe
disregard00,disregard,Ignore,ignore
disregard01,disregard,Disregard,disregard
disregard02,disregard,Ignore it,ignore it
disregard03,disregard,Ignore it,ignore it
disregard04,disregard,Let's ignore it,let's ignore it
disregard05,disregard,Let's ignore it,let's ignore it
exchange00,exchange,Exchange,exchange
exchange01,exchange,Exchange it,exchange it
exchange02,exchange,Trade,trade
exchange03,exchange,Swap,swap
exchange04,exchange,Let's exchange it,let's exchange it
escape00,escape,Escape,escape
escape01,escape,I'll escape,i'll escape
escape02,escape,Evade,evade
escape03,escape,Let's escape,let's escape
escape04,escape,I'll escape,i'll escape
battle00,battle,Fight,fight
battle01,battle,Battle,battle
battle02,battle,Let's fight,let's fight
camping00,camping,Camp,camp
camping01,camping,Camping,Camping
camping02,camping,I'm camping,i'm camping
camping03,camping,Let's camp,let's camp
eat00,eat,Eat,eat
eat01,eat,Eat it,eat it
eat02,eat,Eat this,eat this
eat03,eat,Eat that,eat that
eat04,eat,Let's eat,let's eat
stay00,stay,Stay like this,stay like this
unequip00,unequip,Unequip,unequip
unequip01,unequip,Remove,remove
unequip02,unequip,Unequip it,unequip it
unequip03,unequip,Take it off,take it off
unequip04,unequip,Let's remove it,let's remove it
hit00,hit,Hit,hit
hit01,hit,Let's hit it,let's hit it
hit02,hit,Hit it,hit it
hit03,hit,Attack,attack
hit04,hit,Punch,punch
hit05,hit,Let's punch,let's punch
hit06,hit,Punch it,punch it
hit07,hit,Strike,strike
-,,,
