id,type,describe,objectTypes[],objectTags[],prioritizeItemTag,bridgeCount,obstacleRatio,options[],overwriteSearchResults[],name<jpn>,bridge<jpn>
hotel08,hotel,warehouse,storage/document/bookshelf,inn,material,1,0.05,-,-,Records room,records room
hotel09,hotel,hall,light/picture,luxury,material,3,0.05,-,-,Entrance hall,entrance hall
hotel10,hotel,hall,light/picture/container,inn,material,2,0.05,-,-,Elevator hall,elevator hall
hotel11,hotel,staffRoom,bookshelf/stationery/furniture,office,material,1,0.05,-,-,Office,office
hotel12,hotel,staffRoom,storage/planter/clothes,office,material,1,0.05,-,-,Changing room,changing room
hotel13,hotel,kitchen,tableware/kitchenware,kitchen,food,1,0.05,-,-,Small kitchenette,small kitchenette
hotel14,hotel,kitchen,tableware/kitchenware/electric,kitchen,food,1,0.05,-,-,Large kitchen,large kitchen
-,,,,,,,,,,,
library00,library,library,bookshelf/container,shop,material,1,0.05,-,-,Paperback shelves,paperback shelves
library01,library,library,bookshelf/shelf,shop,material,2,0.05,-,-,Reference book shelves,reference book shelves
library02,library,library,bookshelf/picture,shop,material,1,0.05,-,-,Magazine shelves,magazine shelves
library03,library,library,bookshelf/garbage,shop,material,1,0.05,-,-,Partially empty bookshelves,partially empty bookshelves
library04,library,hall,statue/storage,shop,material,2,0.05,-,-,Entrance hall,entrance hall
library05,library,hall,toy/furniture/electric,shop,map,2,0.05,-,-,Event hall,event hall
library06,library,warehouse,storage/garbage/instrument,shop,map,1,0.05,-,-,Warehouse,warehouse
library07,library,warehouse,electric/storage,office,map,1,0.05,-,-,Equipment storage,equipment storage
library08,library,staffRoom,officeSupply/electric/stationery,office,map,1,0.05,-,-,Office,office
library09,library,staffRoom,document/electric,office,map,1,0.05,-,-,Reception,reception
-,,,,,,,,,,,
factory00,factory,machineRoom,machine/garbage,factory,material,1,0.02,-,-,Processing room,processing room
factory01,factory,machineRoom,machine/storage,factory,material,2,0.02,-,-,Room lined with machines,room lined with machines
factory02,factory,machineRoom,machine/container,factory,material,2,0.02,-,-,Large machine room,large machine room
factory03,factory,office,document/stationery/furniture,office,material,1,0.02,-,-,Office,office
factory04,factory,staffRoom,shopmachine/storage,office,material,1,0.02,-,-,Break room,break room
factory05,factory,warehouse,shelf/storage,factory,material,1,0.02,-,-,Warehouse,warehouse
factory06,factory,warehouse,shelf/tools,factory,material,1,0.02,-,-,Materials storage,materials storage
factory07,factory,carryIn,storage/container,factory,material,2,0.02,-,-,Loading entrance,loading entrance
-,,,,,,,,,,,
homeCenter00,homeCenter,shop,planter/shelf,shop,hammer,2,0.02,-,-,Garden supplies section,garden supplies section
homeCenter01,homeCenter,shop,tools/shelf,shop,hammer,2,0.02,-,-,Tools section,tools section
homeCenter02,homeCenter,shop,furniture/shelf,shop,hammer,2,0.02,-,-,Household goods section,household goods section
homeCenter03,homeCenter,warehouse,storage/container/electric,shop,hammer,1,0.02,-,-,Back room,back room
homeCenter04,homeCenter,warehouse,furniture/electric,shop,hammer,1,0.02,-,-,Warehouse,warehouse
homeCenter05,homeCenter,staffRoom,picture/storage,office,hammer,1,0.02,-,-,Waiting room,waiting room
homeCenter06,homeCenter,staffRoom,storage/garbage,office,hammer,1,0.02,-,-,Changing room,changing room
homeCenter07,homeCenter,carryIn,container/garbage,shop,hammer,2,0.02,-,-,Loading entrance,loading entrance
homeCenter08,homeCenter,parking,vehicle/shopmachine,shop,hammer,2,0.02,-,-,Large parking lot,large parking lot
homeCenter09,homeCenter,parking,vehicle/tools,shop,hammer,2,0.02,-,-,Underground parking lot,underground parking lot
homeCenter10,homeCenter,parking,vehicle/garbage,shop,hammer,2,0.02,-,-,Rear parking lot,rear parking lot
-,,,,,,,,,,,
museum00,museum,gallery,storage/container,gallery,tool,1,0.05,-,-,Fossil exhibit room,fossil exhibit room
museum01,museum,gallery,container/statue,gallery,tool,2,0.05,-,-,Taxidermy exhibit room,taxidermy exhibit room
museum02,museum,gallery,storage/tools,gallery,tool,1,0.05,-,-,Model exhibit room,model exhibit room
museum03,museum,gallery,statue/storage,gallery,tool,2,0.05,-,-,Ancient book exhibit room,ancient book exhibit room
museum04,museum,hall,furniture/light/shelf,gallery,tool,2,0.05,-,-,Entrance hall,entrance hall
museum05,museum,hall,picture/bookshelf/container,gallery,tool,1,0.05,-,-,Event hall,event hall
museum06,museum,office,officeSupply/electric/stationery,office,tool,1,0.05,-,-,Office,office
museum07,museum,warehouse,storage/tools,office,tool,1,0.05,-,-,Warehouse,warehouse
museum08,museum,corridor,storage/planter,gallery,tool,2,0.05,-,-,Wide hallway,wide hallway
museum09,museum,corridor,container/document,gallery,tool,1,0.05,-,-,Quiet hallway,quiet hallway
-,,,,,,,,,,,
amusementPark00,amusementPark,attractions,amusement/shopmachine/storage,park,tool,2,0.02,-,-,Stopped Ferris wheel,stopped ferris wheel
amusementPark01,amusementPark,attractions,amusement/shopmachine,park,tool,1,0.02,-,-,Motionless carousel,motionless carousel
amusementPark02,amusementPark,attractions,amusement/shopmachine/civil,park,tool,2,0.02,-,-,Abandoned roller coaster,abandoned roller coaster
amusementPark03,amusementPark,attractions,amusement/shopmachine,park,tool,2,0.02,-,-,Go-kart with a foul smell,go-kart with a foul smell
amusementPark04,amusementPark,square,statue/civil/container,park,tool,3,0.02,-,-,Bronze statue plaza,bronze statue plaza
amusementPark05,amusementPark,square,civil/container,park,tool,1,0.02,-,-,Fountain plaza,fountain plaza
amusementPark06,amusementPark,office,storage/furniture/clothes,office,tool,1,0.02,-,-,Office,office
amusementPark07,amusementPark,warehouse,container/tools/storage,park,tool,1,0.02,-,-,Warehouse,warehouse
-,,,,,,,,,,,
school00,school,classroom,stationery/tools/school,school,hammer,2,0.02,-,-,First-year classroom,first-year classroom
school01,school,classroom,stationery/tools/school,school,hammer,2,0.02,-,-,Second-year classroom,second-year classroom
school02,school,classroom,stationery/tools/school,school,hammer,2,0.02,-,-,Third-year classroom,third-year classroom
school03,school,classroom,stationery/tools/school,school,hammer,2,0.02,-,-,Empty classroom,empty classroom
school04,school,office,security/shelf/officeSupply,school,hammer,1,0.02,-,-,Staff room,staff room
school05,school,warehouse,bookshelf/storage/garbage/document,school,hammer,1,0.02,-,-,Teaching materials room,teaching materials room
school06,school,warehouse,tools/storage/garbage,school,hammer,1,0.02,-,-,Warehouse,warehouse
school07,school,hall,light/picture,school,hammer,3,0.02,-,-,Entrance hall,entrance hall
-,,,,,,,,,,,
underpass00,underpass,underpass,container/garbage/shopmachine,underpass,material,1,0.02,-,-,Dark road,dark road
underpass01,underpass,underpass,container/garbage/shopmachine,underpass,material,1,0.02,-,-,Road covered in posters,road covered in posters
underpass02,underpass,underpass,container/tools/shopmachine,underpass,material,1,0.02,-,-,Tiled road,tiled road
underpass03,underpass,underpass,container/tools/shopmachine,underpass,material,1,0.02,-,-,Low-ceilinged road,low-ceilinged road
underpass04,underpass,warehouse,shelf/container,underpass,material,1,0.02,-,-,Warehouse,warehouse
underpass05,underpass,warehouse,shelf/container,underpass,material,1,0.02,-,-,Materials storage,materials storage
underpass06,underpass,staffRoom,security/shelf/garbage,underpass,material,1,0.02,-,-,Staff room,staff room
underpass07,underpass,machineRoom,tools/garbage,underpass,material,1,0.02,-,-,Machine room,machine room
-,,,,,,,,,,,
cafe00,cafe,dining,tableware/food,shop,food,2,0.02,-,-,Booth seating,booth seating
cafe01,cafe,dining,tableware/food,shop,food,2,0.02,-,-,Counter,counter
cafe02,cafe,shop,toy/container,shop,food,1,0.02,-,-,General goods section,general goods section
cafe03,cafe,shop,food/container,shop,food,1,0.02,-,-,Confectionery section,confectionery section
cafe04,cafe,kitchen,kitchenware/tableware/food,shop,food,1,0.02,-,-,Kitchen,kitchen
cafe05,cafe,kitchen,kitchenware/tableware/food,shop,food,1,0.02,-,-,Kitchen,kitchen
cafe06,cafe,office,furniture/shelf/stationery,shop,food,1,0.02,-,-,Drink server,drink server
cafe07,cafe,warehouse,storage/tools/garbage,shop,food,1,0.02,-,-,Warehouse,warehouse
-,,,,,,,,,,,
station00,station,hall,statue/light/picture,station,material,2,0.02,-,-,In front of the ticket gates,in front of the ticket gates
station01,station,hall,statue/light/picture,station,material,2,0.02,-,-,Concourse,concourse
station02,station,hall,statue/light/picture,station,material,2,0.02,-,-,Waiting room,waiting room
station03,station,corridor,storage/planter,station,material,1,0.02,-,-,Connecting passage,connecting passage
station04,station,corridor,storage/planter,station,material,1,0.02,-,-,Public passage,public passage
station05,station,office,furniture/shelf/electric,station,material,1,0.02,-,-,Station staff room,station staff room
station06,station,office,officeSupply/furniture/planter,station,material,1,0.02,-,-,Office,office
station07,station,warehouse,tools/garbage,station,material,1,0.02,-,-,Warehouse,warehouse
-,,,,,,,,,,,
restaurant00,restaurant,dining,tableware/food/container,shop,food,2,0.02,-,-,Counter,counter
restaurant01,restaurant,dining,tableware/food/garbage,shop,food,2,0.02,-,-,Table seating,table seating
restaurant02,restaurant,dining,tableware/food/picture,shop,food,2,0.02,-,-,Booth seating,booth seating
restaurant03,restaurant,dining,tableware/food/planter,shop,food,2,0.02,-,-,Hall,hall
restaurant04,restaurant,kitchen,kitchenware/tableware/food,shop,food,1,0.02,-,-,Kitchen,kitchen
restaurant05,restaurant,kitchen,kitchenware/tableware/food,shop,food,1,0.02,-,-,Kitchen,kitchen
restaurant06,restaurant,kitchen,kitchenware/tableware/food,shop,food,1,0.02,-,-,Drink server,drink server
restaurant07,restaurant,warehouse,storage/tools/garbage,shop,food,1,0.02,-,-,Warehouse,warehouse
-,,,,,,,,,,,
prison00,prison,hall,bookshelf/container/document,prison,ammo,2,0.02,-,-,Waiting room,waiting room
prison01,prison,hall,bookshelf/container/document,prison,ammo,2,0.02,-,-,Entrance hall,entrance hall
prison02,prison,corridor,container/garbage,prison,ammo,2,0.02,-,-,Dimly lit hallway,dimly lit hallway
prison03,prison,corridor,container/document,prison,ammo,2,0.02,-,-,Wide hallway,wide hallway
prison04,prison,corridor,container/bookshelf,prison,ammo,2,0.02,-,-,Windowless passage,windowless passage
prison05,prison,office,stationery/furniture,office,ammo,1,0.02,-,-,Office,office
prison06,prison,office,stationery/document,office,ammo,1,0.02,-,-,Reception,reception
prison07,prison,warehouse,storage/tools,antique,ammo,1,0.02,-,-,Warehouse,warehouse
prison08,prison,warehouse,storage/tools/clothes,antique,ammo,1,0.02,-,-,Storage room,storage room
-,,,,,,,,,,,
storehouse00,storehouse,warehouse,container/storage,factory,material,1,0.05,-,-,Shelf marked A,shelf marked A
storehouse01,storehouse,warehouse,container/storage,factory,material,1,0.05,-,-,Shelf marked B,shelf marked B
storehouse02,storehouse,warehouse,container/storage,factory,material,1,0.05,-,-,Shelf marked C,shelf marked C
storehouse03,storehouse,warehouse,container/storage,factory,material,1,0.05,-,-,Shelf marked D,shelf marked D
storehouse04,storehouse,office,stationery/furniture/tools,office,material,1,0.05,-,-,Office,office
storehouse05,storehouse,corridor,garbage/shelf,factory,material,2,0.05,-,-,Narrow hallway,narrow hallway
-,,,,,,,,,,,
hospital00,hospital,hall,picture/container,hospital,medicine,2,0,-,-,Waiting room,waiting room
hospital01,hospital,hospitalRoom,shelf/stationery/container,hospital,medicine,2,0,-,-,Examination room,examination room
hospital02,hospital,hospitalRoom,shelf/storage,hospital,medicine,1,0,-,-,Patient room,patient room
hospital03,hospital,corridor,picture/planter,hospital,medicine,1,0,-,-,Quiet hallway,quiet hallway
hospital04,hospital,office,stationery/furniture/shelf,hospital,medicine,1,0,-,-,Office,office
hospital05,hospital,kitchen,tableware/kitchenware,hospital,medicine,1,0,-,-,Kitchen,kitchen
hospital06,hospital,warehouse,container/storage,hospital,medicine,1,0,-,-,Warehouse,warehouse
-,,,,,,,,,,,
theater00,theater,hall,picture/container,gallery,document,2,0,-,-,Entrance hall,entrance hall
theater01,theater,hall,picture/bookshelf,gallery,document,2,0,-,-,Large hall,large hall
theater02,theater,corridor,picture/planter,gallery,document,1,0,-,-,Dimly lit hallway,dimly lit hallway
theater03,theater,office,stationery/furniture/shelf,office,document,1,0,-,-,Office,office
theater04,theater,office,clothes/electric/instrument,office,document,1,0,-,-,Waiting room,waiting room
-,,,,,,,,,,,
foodStorage00,foodStorage,room,shelf/container/storage,food,-,2,0,StageOptionNoBattle,itemGetFood00/itemGetFood00/itemGetCookingTool00/itemGetIdBox00/itemGetFood00,Room marked A,room marked A
foodStorage01,foodStorage,room,shelf/container/storage,food,-,2,0,StageOptionNoBattle,itemGetFood00/itemGetFood00/itemGetCookingTool00/itemGetIdBox00/itemGetFood00,Room marked B,room marked B
foodStorage02,foodStorage,room,shelf/container/storage,food,-,2,0,StageOptionNoBattle,itemGetFood00/itemGetFood00/itemGetCookingTool00/itemGetIdBox00/itemGetFood00,Room marked C,room marked C
foodStorage03,foodStorage,warehouse,shelf/container/storage,food,-,2,0,StageOptionNoBattle,itemGetFood00/itemGetFood00/itemGetCookingTool00/itemGetIdBox00/itemGetFood00,Warehouse marked D,warehouse marked D
foodStorage04,foodStorage,warehouse,shelf/container/storage,food,-,2,0,StageOptionNoBattle,itemGetFood00/itemGetFood00/itemGetCookingTool00/itemGetIdBox00/itemGetFood00,Warehouse marked E,warehouse marked E
-,,,,,,,,,,,
armoury00,armoury,room,shelf/container/storage,weapon,-,2,0,StageOptionNoBattle,itemGetGun01/itemGetAmmo00/itemGetAmmo00/itemGetIdBox00/itemGetGun01,Room marked A,room marked A
armoury01,armoury,room,shelf/container/storage,weapon,-,2,0,StageOptionNoBattle,itemGetGun01/itemGetAmmo00/itemGetAmmo00/itemGetIdBox00/itemGetGun01,Room marked B,room marked B
armoury02,armoury,room,shelf/container/storage,weapon,-,2,0,StageOptionNoBattle,itemGetGun01/itemGetAmmo00/itemGetAmmo00/itemGetIdBox00/itemGetGun01,Room marked C,room marked C
armoury03,armoury,warehouse,shelf/container/storage,weapon,-,2,0,StageOptionNoBattle,itemGetGun01/itemGetAmmo00/itemGetAmmo00/itemGetIdBox00/itemGetGun01,Warehouse marked D,warehouse marked D
armoury04,armoury,warehouse,shelf/container/storage,weapon,-,2,0,StageOptionNoBattle,itemGetGun01/itemGetAmmo00/itemGetAmmo00/itemGetIdBox00/itemGetGun01,Warehouse marked E,warehouse marked E
-,,,,,,,,,,,
baseCamp00,baseCamp,baseCamp,baseCamp,baseCamp,-,1,0,StageOptionNoBattle,-,Open area,open area
-,,,,,,,,,,,
