id,name<jpn>,type,stageCount,stageEventCount,eventRarity,enemyLevel,prioritizeItem,option,optionArgs[],startEvent,startEventArgs[],fixedStages[],image,sound,outside<jpn>,describe<jpn>
camp00,Riverside campsite,camp,2,1,8,6,food00,LocationOptionAfterSearchEvent,1.0/riverside/checkFishing00,-,-,-,location12,environment03,path leading outside,I found traces of someone having camped here.<br>There is no sign of anyone now， but their belongings have been left behind as though someone had been here only moments ago
camp01,Campsite deep in the forest,camp,2,1,15,16,food01,LocationOptionAfterSearchEvent,1.0/riverside/checkFishing00,-,-,-,location34,environment03,path leading outside,I found traces of someone having camped here.<br>There is no sign of anyone now， but their belongings have been left behind as though someone had been here only moments ago
camp02,Abandoned campsite,camp,2,2,18,24,food04,LocationOptionAfterSearchEvent,1.0/riverside/checkFishing00,-,-,-,location13,environment03,path leading outside,I found traces of someone having camped here.<br>There is no sign of anyone now， but their belongings have been left behind as though someone had been here only moments ago
-,,,,,,,,,,,,,,,,
seaside00,Beach with signs of human presence,seaside,2,1,5,5,tool03,LocationOptionAfterSearchEvent,1.0/shore/checkFishing00,-,-,-,location14,environment04,path leading outside,I can hear the sound of gentle waves.<br>There are signs on the beach that someone spent a night or two here
seaside01,Deserted seashore,seaside,2,1,12,12,tool03,LocationOptionAfterSearchEvent,1.0/shore/checkFishing00,-,-,-,location35,environment04,path leading outside,I can hear the sound of gentle waves.<br>There are signs on the beach that someone spent a night or two here
seaside02,Beach with a campfire's remains,seaside,2,2,18,18,tool03,LocationOptionAfterSearchEvent,1.0/shore/checkFishing00,-,-,-,location15,environment04,path leading outside,I can hear the sound of gentle waves.<br>There are signs on the beach that someone spent a night or two here
-,,,,,,,,,,,,,,,,
hotel00,Empty hotel,hotel,3,1,10,10,food06,LocationOptionExitBroken,0.2,-,-,-,location16,environment05,door leading outside,The hotel， with its lights and people gone， had been left behind as though time had stopped.<br>I didn't feel like staying the night here
hotel01,Ransacked hotel,hotel,3,2,12,12,food06,LocationOptionExitBroken,0.2,-,-,-,location36,environment05,door leading outside,The hotel， with its lights and people gone， had been left behind as though time had stopped.<br>I didn't feel like staying the night here
hotel02,Hotel on the outskirts of town,hotel,3,2,20,18,food06,LocationOptionExitBroken,0.2,-,-,-,location17,environment05,door leading outside,The hotel， with its lights and people gone， had been left behind as though time had stopped.<br>I didn't feel like staying the night here
-,,,,,,,,,,,,,,,,
library00,Silent library,library,2,1,5,4,material00,LocationOptionAfterSearchEvent,0.8/-/itemGetFindBox00,-,-,-,location18,environment01,door leading outside,Even if it is completely silent， that isn't strange for a library.<br>The familiar smell of books reminds me of what ordinary life used to be like
library01,Empty library,library,2,1,16,9,map01,LocationOptionAfterSearchEvent,0.8/-/itemGetFindBox00,InsertStageEventsEvent,0.3/enterEnemyHouse/exitEnemyHouse/battleForcibly00/3,-,location37,environment01,door leading outside,Even if it is completely silent， that isn't strange for a library.<br>The familiar smell of books reminds me of what ordinary life used to be like
library02,Deserted library,library,2,2,21,15,postcard00,LocationOptionAfterSearchEvent,0.8/-/itemGetFindBox00,-,-,-,location19,environment01,door leading outside,Even if it is completely silent， that isn't strange for a library.<br>The familiar smell of books reminds me of what ordinary life used to be like
-,,,,,,,,,,,,,,,,
factory00,Pitch-dark factory,factory,3,1,9,9,material04,LocationOptionExitBroken,1,-,-,-,location20,environment01,door leading outside,The factory， deprived of power， had the eerie presence of a gigantic corpse.<br>Rust and vegetation were taking it over， as though it were slowly rotting away
factory01,Silent factory,factory,3,1,16,15,material01,LocationOptionExitBroken,1,-,-,-,location38,environment01,door leading outside,The factory， deprived of power， had the eerie presence of a gigantic corpse.<br>Rust and vegetation were taking it over， as though it were slowly rotting away
factory02,Factory with abandoned materials,factory,3,2,22,20,tool01,LocationOptionExitBroken,1,-,-,-,location21,environment01,door leading outside,The factory， deprived of power， had the eerie presence of a gigantic corpse.<br>Rust and vegetation were taking it over， as though it were slowly rotting away
-,,,,,,,,,,,,,,,,
homeCenter00,Silent home improvement store,homeCenter,3,1,8,9,hammer00,LocationOptionAfterSearchEvent,0.8/-/itemGetFindHammer00,-,-,-,location22,environment00,door leading outside,Many people probably came here even after the situation grew worse.<br>The unmanned home improvement store has been thoroughly ransacked
homeCenter01,Echoing home improvement store,homeCenter,3,2,16,18,hammer02,LocationOptionAfterSearchEvent,0.8/-/itemGetFindHammer00,-,-,-,location39,environment00,door leading outside,Many people probably came here even after the situation grew worse.<br>The unmanned home improvement store has been thoroughly ransacked
homeCenter02,Home improvement store with broken windows,homeCenter,3,2,19,22,hammer03,LocationOptionAfterSearchEvent,0.8/-/itemGetFindHammer00,-,-,-,location23,environment00,door leading outside,Many people probably came here even after the situation grew worse.<br>The unmanned home improvement store has been thoroughly ransacked
-,,,,,,,,,,,,,,,,
museum00,Dust-covered museum,museum,2,1,9,4,material00,-,-,-,-,-,location24,environment05,door leading outside,Museums are quiet places to begin with， but now that I see it like this， the silence is nothing like the quiet of the days when ordinary life still existed.<br>There isn't a single thing moving， and that is frightening enough to make me tremble
museum01,Abandoned museum,museum,2,1,17,10,material00,-,-,-,-,-,location40,environment05,door leading outside,Museums are quiet places to begin with， but now that I see it like this， the silence is nothing like the quiet of the days when ordinary life still existed.<br>There isn't a single thing moving， and that is frightening enough to make me tremble
museum02,Silent museum,museum,2,2,22,16,material13,LocationOptionExitBroken,0.2,-,-,-,location25,environment05,door leading outside,Museums are quiet places to begin with， but now that I see it like this， the silence is nothing like the quiet of the days when ordinary life still existed.<br>There isn't a single thing moving， and that is frightening enough to make me tremble
-,,,,,,,,,,,,,,,,
amusementPark00,Empty amusement park,amusementPark,2,1,5,6,material11,-,-,InsertStageEventsEvent,0.3/enterEnemyHouse/exitEnemyHouse/battleForcibly00/2,-,location26,environment01,path leading outside,An amusement park without people was all the more eerie for the liveliness it once had.<br>There is no laughter or screaming.<br>Only the wind rushes across the open grounds
amusementPark01,Amusement park with a nasty smell,amusementPark,2,1,12,10,material11,-,-,InsertStageEventsEvent,0.2/enterEnemyHouse/exitEnemyHouse/battleForcibly00/3,-,location41,environment01,path leading outside,An amusement park without people was all the more eerie for the liveliness it once had.<br>There is no laughter or screaming.<br>Only the wind rushes across the open grounds
amusementPark02,Overgrown amusement park,amusementPark,2,2,20,18,material11,-,-,InsertStageEventsEvent,0.1/enterEnemyHouse/exitEnemyHouse/battleForcibly00/4,-,location27,environment01,path leading outside,An amusement park without people was all the more eerie for the liveliness it once had.<br>There is no laughter or screaming.<br>Only the wind rushes across the open grounds
-,,,,,,,,,,,,,,,,
school00,Dimly lit elementary school,school,3,1,18,15,tool00,-,-,-,-,-,location55,environment01,door leading outside,Why does a school without people feel so unsettling?<br>I must have gone to a similar school， yet I can't remember anything about it.<br>That's how far a deserted school feels removed from ordinary life
school01,School with ivy-covered walls,school,3,1,25,28,material00,-,-,-,-,-,location56,environment01,door leading outside,Why does a school without people feel so unsettling?<br>I must have gone to a similar school， yet I can't remember anything about it.<br>That's how far a deserted school feels removed from ordinary life
school02,Silent high school,school,3,2,32,38,material00,-,-,-,-,-,location57,environment01,door leading outside,Why does a school without people feel so unsettling?<br>I must have gone to a similar school， yet I can't remember anything about it.<br>That's how far a deserted school feels removed from ordinary life
school100,School with a kendo hall,school,1,0,0,0,-,-,-,ConfirmEnemyBossSurvivorEvent,encountSurvivor/id/enemyBoss101,minamo00,scenario26,environment01,door leading outside,Why does a school without people feel so unsettling?<br>I must have gone to a similar school， yet I can't remember anything about it.<br>That's how far a deserted school feels removed from ordinary life
-,,,,,,,,,,,,,,,,
underpass00,Underpass leading to the station,underpass,4,1,20,28,parts00,LocationOptionAfterSearchEvent,0.8/-/itemGetFindHammer00,-,-,-,location58,environment05,stairs leading outside,At the bottom of the stairs， a pitch-dark passage stretches on without end.<br>Though this neglected underpass lies in the middle of the city， it has already returned to nature
underpass01,Damp underpass,underpass,4,1,38,40,parts00,LocationOptionAfterSearchEvent,0.8/-/itemGetFindHammer00,-,-,-,location59,environment05,stairs leading outside,At the bottom of the stairs， a pitch-dark passage stretches on without end.<br>Though this neglected underpass lies in the middle of the city， it has already returned to nature
underpass02,Windy underpass,underpass,4,1,42,45,parts00,LocationOptionAfterSearchEvent,0.8/-/itemGetFindHammer00,-,-,-,location60,environment05,stairs leading outside,At the bottom of the stairs， a pitch-dark passage stretches on without end.<br>Though this neglected underpass lies in the middle of the city， it has already returned to nature
-,,,,,,,,,,,,,,,,
cafe00,Small café,cafe,2,1,18,20,food06,LocationOptionAfterSearchEvent,0.8/-/itemGetFindBox00,-,-,-,location61,environment06,door leading outside,Entering this cozy little shop， with no signs of having been ransacked， somehow puts me at ease.<br>Places like this can sometimes remain closer to their former state than the homes where people once lived
cafe01,Café with large windows,cafe,2,1,30,35,food06,LocationOptionAfterSearchEvent,0.8/-/itemGetFindBox00,-,-,-,location62,environment06,door leading outside,Entering this cozy little shop， with no signs of having been ransacked， somehow puts me at ease.<br>Places like this can sometimes remain closer to their former state than the homes where people once lived
cafe02,Spacious café,cafe,2,1,38,45,food06,LocationOptionAfterSearchEvent,0.8/-/itemGetFindBox00,-,-,-,location63,environment06,door leading outside,Entering this cozy little shop， with no signs of having been ransacked， somehow puts me at ease.<br>Places like this can sometimes remain closer to their former state than the homes where people once lived
-,,,,,,,,,,,,,,,,
station00,Sunlit station,station,2,2,22,25,map00,-,-,InsertStageEventsEvent,0.3/enterEnemyHouse/exitEnemyHouse/battleForcibly00/2,-,location64,environment02,path leading outside,No matter how long I wait， the train will never come again.<br>I know that， and yet the boredom of idly waiting at a station is no different now from what it was before.<br>The same kind of time that flowed here in the days of ordinary life still flows here now
station01,Subway station,station,2,2,22,36,map01,-,-,InsertStageEventsEvent,0.2/enterEnemyHouse/exitEnemyHouse/battleForcibly00/3,-,location65,environment02,path leading outside,No matter how long I wait， the train will never come again.<br>I know that， and yet the boredom of idly waiting at a station is no different now from what it was before.<br>The same kind of time that flowed here in the days of ordinary life still flows here now
station02,Deserted station,station,2,2,35,48,map01,-,-,InsertStageEventsEvent,0.1/enterEnemyHouse/exitEnemyHouse/battleForcibly00/4,-,location66,environment02,path leading outside,No matter how long I wait， the train will never come again.<br>I know that， and yet the boredom of idly waiting at a station is no different now from what it was before.<br>The same kind of time that flowed here in the days of ordinary life still flows here now
-,,,,,,,,,,,,,,,,
restaurant00,Dimly lit restaurant,restaurant,3,1,20,18,food04,LocationOptionAfterSearchEvent,0.8/-/itemGetFindBox00,-,-,-,location67,environment00,door leading outside,Some tables are still neatly set with dishes， ready to welcome customers.<br>Then again， the glass in the display cases has been smashed.<br>I feel that this mismatched world is what we are living in now
restaurant01,Stylish restaurant,restaurant,3,1,34,28,food04,LocationOptionAfterSearchEvent,0.8/-/itemGetFindBox00,-,-,-,location68,environment00,door leading outside,Some tables are still neatly set with dishes， ready to welcome customers.<br>Then again， the glass in the display cases has been smashed.<br>I feel that this mismatched world is what we are living in now
restaurant02,Restaurant with large glass windows,restaurant,3,1,42,34,food04,LocationOptionAfterSearchEvent,0.8/-/itemGetFindBox00,-,-,-,location69,environment00,door leading outside,Some tables are still neatly set with dishes， ready to welcome customers.<br>Then again， the glass in the display cases has been smashed.<br>I feel that this mismatched world is what we are living in now
-,,,,,,,,,,,,,,,,
prison00,Small detention facility,prison,2,1,10,15,ammo00,LocationOptionExitLocked,1/exitKey00/1,-,-,-,location42,environment05,gate leading outside,What kind of people were they meant to keep here?<br>Before everyone disappeared， was this place livelier than it is now? Or was it filled with an even heavier silence?
prison01,Sunlit detention center,prison,3,2,15,0,ammo00,LocationOptionExitLocked,0.5/exitKey00/1,ConfirmEnemyBossEvent,encount/bossLevel/15,-,location50,environment05,gate leading outside,What kind of people were they meant to keep here?<br>Before everyone disappeared， was this place livelier than it is now? Or was it filled with an even heavier silence?
prison02,Detention facility with the sound of water,prison,3,2,18,0,ammo01,LocationOptionExitLocked,0.5/exitKey00/1,ConfirmEnemyBossEvent,encount/bossLevel/25,-,location54,environment05,gate leading outside,What kind of people were they meant to keep here?<br>Before everyone disappeared， was this place livelier than it is now? Or was it filled with an even heavier silence?
-,,,,,,,,,,,,,,,,
storehouse00,Huge warehouse on the outskirts,storehouse,2,1,25,5,-,LocationOptionExitLocked,1/exitKey01/1,-,-,-,location43,environment01,large door leading outside,The warehouse， with all distribution having come to a halt， is utterly silent.<br>It feels like entering the corpse of some gigantic creature， and it is unsettling
storehouse01,Strange underground warehouse,storehouse,3,0,20,0,-,-,-,ConfirmEnemyBossEvent,encount/id/enemyBoss01,-,location47,environment01,large door leading outside,The warehouse， with all distribution having come to a halt， is utterly silent.<br>It feels like entering the corpse of some gigantic creature， and it is unsettling
storehouse02,Desolate abandoned warehouse,storehouse,3,2,20,0,-,LocationOptionExitBroken,1,ConfirmEnemyBossEvent,encount/bossLevel/30,-,location51,environment01,large door leading outside,The warehouse， with all distribution having come to a halt， is utterly silent.<br>It feels like entering the corpse of some gigantic creature， and it is unsettling
storehouse03,Collapsing storage shed,storehouse,3,2,20,0,-,LocationOptionExitBroken,1,ConfirmEnemyBossEvent,encount/id/enemyBoss02,-,location70,environment01,large door leading outside,The warehouse， with all distribution having come to a halt， is utterly silent.<br>It feels like entering the corpse of some gigantic creature， and it is unsettling
-,,,,,,,,,,,,,,,,
hospital00,Small hospital,hospital,3,0,12,0,heal00,-,-,ConfirmEnemyBossEvent,encount/id/enemyBoss00,-,location44,environment01,door leading outside,It was utterly silent.<br>The white walls stretching into the distance gradually disappear into the darkness
hospital01,Clinic with few windows,hospital,3,0,18,0,heal00,LocationOptionExitBroken,1,ConfirmEnemyBossEvent,encount/id/enemyBoss03,-,location48,environment01,door leading outside,It was utterly silent.<br>The white walls stretching into the distance gradually disappear into the darkness
hospital02,Silent general hospital,hospital,3,1,18,0,heal00,-,-,ConfirmEnemyBossEvent,encount/bossLevel/30,-,location52,environment01,door leading outside,It was utterly silent.<br>The white walls stretching into the distance gradually disappear into the darkness
-,,,,,,,,,,,,,,,,
theater00,Small movie theater,theater,2,0,30,0,journey00,-,-,ConfirmEnemyBossEvent,encount/bossLevel/30,-,location73,environment01,door leading outside,Was this place noisier before things came to this? Or did the same quiet hours pass here?<br>What might be hidden behind the stage?
theater01,Community center hall,theater,2,0,40,0,journey00,-,-,ConfirmEnemyBossEvent,encount/bossLevel/40,-,location74,environment01,door leading outside,Was this place noisier before things came to this? Or did the same quiet hours pass here?<br>What might be hidden behind the stage?
theater02,Underground theater,theater,2,0,50,0,journey00,-,-,ConfirmEnemyBossEvent,encount/bossLevel/50,-,location75,environment01,door leading outside,Was this place noisier before things came to this? Or did the same quiet hours pass here?<br>What might be hidden behind the stage?
-,,,,,,,,,,,,,,,,
foodStorage00,Small food storage room,foodStorage,2,0,15,0,-,-,-,SpeakEvent,safeLocation,-,location45,environment06,door leading outside,Who stored all this， and for what purpose? Was it inventory， or supplies for an emergency?<br>Whatever it was， someone's stockpile is keeping us alive now
foodStorage01,Large food storage room,foodStorage,4,0,40,0,-,-,-,SpeakEvent,safeLocation,-,location71,environment06,door leading outside,Who stored all this， and for what purpose? Was it inventory， or supplies for an emergency?<br>Whatever it was， someone's stockpile is keeping us alive now
-,,,,,,,,,,,,,,,,
armoury00,Small armory,armoury,2,0,15,0,-,-,-,SpeakEvent,safeLocation,-,location46,environment05,door leading outside,In the dimness， things far removed from everyday life are lined up.<br>There must be a strong smell of gunpowder lingering here. The 'everyday life' of the girls who can recognize that smell as gunpowder feels very far away to me
armoury01,Large armory,armoury,4,0,40,0,-,-,-,SpeakEvent,safeLocation,-,location72,environment05,door leading outside,In the dimness， things far removed from everyday life are lined up.<br>There must be a strong smell of gunpowder lingering here. The 'everyday life' of the girls who can recognize that smell as gunpowder feels very far away to me
-,,,,,,,,,,,,,,,,
baseCamp00,Vacant lot in a small town,baseCamp,1,0,0,0,-,-,-,ConfirmEnterBaseCampEvent,baseCamp0-1/endless/town,-,baseCamp00,story00,-,The wind passes through the open land.<br>It is a gentle breeze.<br>For some reason， the silence in which I can hear nothing but my own breathing feels comforting here
baseCamp01,Urban parking lot,baseCamp,1,0,0,0,-,-,-,ConfirmEnterBaseCampEvent,baseCamp1-1/endless/city,-,baseCamp01,story00,-,The wind passes through the open land.<br>It is a gentle breeze.<br>For some reason， the silence in which I can hear nothing but my own breathing feels comforting here
baseCamp02,Campsite in the forest,baseCamp,1,0,0,0,-,-,-,ConfirmEnterBaseCampEvent,baseCamp2-1/endless/forest,-,baseCamp02,story00,-,The wind passes through the open land.<br>It is a gentle breeze.<br>For some reason， the silence in which I can hear nothing but my own breathing feels comforting here
baseCamp03,Large park on the outskirts,baseCamp,1,0,0,0,-,-,-,ConfirmEnterBaseCampEvent,baseCamp3-1/endless/suburb,-,baseCamp03,story00,-,The wind passes through the open land.<br>It is a gentle breeze.<br>For some reason， the silence in which I can hear nothing but my own breathing feels comforting here
baseCamp04,Grassland on the outskirts of the village,baseCamp,1,0,0,0,-,-,-,ConfirmEnterBaseCampEvent,baseCamp4-1/endless/village,-,baseCamp04,story00,-,The wind passes through the open land.<br>It is a gentle breeze.<br>For some reason， the silence in which I can hear nothing but my own breathing feels comforting here
baseCamp05,Parking lot on the mountain slope,baseCamp,1,0,0,0,-,-,-,ConfirmEnterBaseCampEvent,baseCamp5-1/endless/mountain,-,baseCamp05,story00,-,The wind passes through the open land.<br>It is a gentle breeze.<br>For some reason， the silence in which I can hear nothing but my own breathing feels comforting here
baseCamp06,Seaside campsite,baseCamp,1,0,0,0,-,-,-,ConfirmEnterBaseCampEvent,baseCamp6-1/endless/seaside,-,baseCamp06,story00,-,The wind passes through the open land.<br>It is a gentle breeze.<br>For some reason， the silence in which I can hear nothing but my own breathing feels comforting here
baseCamp07,Vacant lot beside the Railway,baseCamp,1,0,0,0,-,-,-,ConfirmEnterBaseCampEvent,baseCamp7-1/endless/railway,-,baseCamp07,story00,-,The wind passes through the open land.<br>It is a gentle breeze.<br>For some reason， the silence in which I can hear nothing but my own breathing feels comforting here
-,,,,,,,,,,,,,,,,
