id,_name<jpn>,name<eng>,_bridge<jpn>,bridge<eng>
village04,大通り,<PLEASE_TRANSLATE>,大通り,<PLEASE_TRANSLATE>
village05,家の並ぶ道,<PLEASE_TRANSLATE>,家の並ぶ道,<PLEASE_TRANSLATE>
village06,民家の庭,<PLEASE_TRANSLATE>,民家の庭,<PLEASE_TRANSLATE>
village07,屋敷の前庭,<PLEASE_TRANSLATE>,屋敷の前庭,<PLEASE_TRANSLATE>
-,,,,
camp00,一人用のテント,<PLEASE_TRANSLATE>,一人用のテント,<PLEASE_TRANSLATE>
camp01,大きなテント,<PLEASE_TRANSLATE>,大きなテント,<PLEASE_TRANSLATE>
camp02,崩れかけのテント,<PLEASE_TRANSLATE>,崩れかけのテント,<PLEASE_TRANSLATE>
camp03,芝生の広場,<PLEASE_TRANSLATE>,芝生の広場,<PLEASE_TRANSLATE>
camp04,芝生のキャンプサイト,<PLEASE_TRANSLATE>,芝生のキャンプサイト,<PLEASE_TRANSLATE>
camp05,川辺,<PLEASE_TRANSLATE>,川辺,<PLEASE_TRANSLATE>
camp06,穏やかな川,<PLEASE_TRANSLATE>,穏やかな川,<PLEASE_TRANSLATE>
camp07,物置小屋,<PLEASE_TRANSLATE>,物置小屋,<PLEASE_TRANSLATE>
camp08,コンクリートの倉庫,<PLEASE_TRANSLATE>,コンクリートの倉庫,<PLEASE_TRANSLATE>
-,,,,
seaside00,広い砂浜,<PLEASE_TRANSLATE>,広い砂浜,<PLEASE_TRANSLATE>
seaside01,人の痕跡がある浜,<PLEASE_TRANSLATE>,人の痕跡がある浜,<PLEASE_TRANSLATE>
seaside02,砂浜のキャンプ跡,<PLEASE_TRANSLATE>,砂浜のキャンプ跡,<PLEASE_TRANSLATE>
seaside03,波打ち際,<PLEASE_TRANSLATE>,波打ち際,<PLEASE_TRANSLATE>
seaside04,波の打ちつける岩場,<PLEASE_TRANSLATE>,波の打ちつける岩場,<PLEASE_TRANSLATE>
seaside05,小さなテント,<PLEASE_TRANSLATE>,小さなテント,<PLEASE_TRANSLATE>
seaside06,頑丈なテント,<PLEASE_TRANSLATE>,頑丈なテント,<PLEASE_TRANSLATE>
seaside07,レンガの倉庫,<PLEASE_TRANSLATE>,レンガの倉庫,<PLEASE_TRANSLATE>
seaside08,木造の小屋,<PLEASE_TRANSLATE>,木造の小屋,<PLEASE_TRANSLATE>
-,,,,
hotel00,シングルルーム,<PLEASE_TRANSLATE>,シングルルーム,<PLEASE_TRANSLATE>
hotel01,ツインの客室,<PLEASE_TRANSLATE>,ツインの客室,<PLEASE_TRANSLATE>
hotel02,家族向けの客室,<PLEASE_TRANSLATE>,家族向けの客室,<PLEASE_TRANSLATE>
hotel03,細い廊下,<PLEASE_TRANSLATE>,細い廊下,<PLEASE_TRANSLATE>
hotel04,広い廊下,<PLEASE_TRANSLATE>,広い廊下,<PLEASE_TRANSLATE>
hotel05,バスルーム,<PLEASE_TRANSLATE>,バスルーム,<PLEASE_TRANSLATE>
hotel06,豪勢な浴室,<PLEASE_TRANSLATE>,豪勢な浴室,<PLEASE_TRANSLATE>
hotel07,物置,<PLEASE_TRANSLATE>,物置,<PLEASE_TRANSLATE>
hotel08,資料室,<PLEASE_TRANSLATE>,資料室,<PLEASE_TRANSLATE>
hotel09,エントランスホール,<PLEASE_TRANSLATE>,エントランスホール,<PLEASE_TRANSLATE>
hotel10,エレベーターホール,<PLEASE_TRANSLATE>,エレベーターホール,<PLEASE_TRANSLATE>
hotel11,事務室,<PLEASE_TRANSLATE>,事務室,<PLEASE_TRANSLATE>
hotel12,更衣室,<PLEASE_TRANSLATE>,更衣室,<PLEASE_TRANSLATE>
hotel13,狭い給湯室,<PLEASE_TRANSLATE>,狭い給湯室,<PLEASE_TRANSLATE>
hotel14,広い厨房,<PLEASE_TRANSLATE>,広い厨房,<PLEASE_TRANSLATE>
-,,,,
library00,文庫本の棚,<PLEASE_TRANSLATE>,文庫本の棚,<PLEASE_TRANSLATE>
library01,図鑑の棚,<PLEASE_TRANSLATE>,図鑑の棚,<PLEASE_TRANSLATE>
library02,雑誌の棚,<PLEASE_TRANSLATE>,雑誌の棚,<PLEASE_TRANSLATE>
library03,歯抜けになった書架,<PLEASE_TRANSLATE>,歯抜けになった書架,<PLEASE_TRANSLATE>
library04,エントランスホール,<PLEASE_TRANSLATE>,エントランスホール,<PLEASE_TRANSLATE>
library05,催事場,<PLEASE_TRANSLATE>,催事場,<PLEASE_TRANSLATE>
library06,倉庫,<PLEASE_TRANSLATE>,倉庫,<PLEASE_TRANSLATE>
library07,機材置き場,<PLEASE_TRANSLATE>,機材置き場,<PLEASE_TRANSLATE>
library08,事務室,<PLEASE_TRANSLATE>,事務室,<PLEASE_TRANSLATE>
library09,受付,<PLEASE_TRANSLATE>,受付,<PLEASE_TRANSLATE>
-,,,,
factory00,加工室,<PLEASE_TRANSLATE>,加工室,<PLEASE_TRANSLATE>
factory01,機械の並ぶ部屋,<PLEASE_TRANSLATE>,機械の並ぶ部屋,<PLEASE_TRANSLATE>
factory02,広い機械室,<PLEASE_TRANSLATE>,広い機械室,<PLEASE_TRANSLATE>
factory03,事務室,<PLEASE_TRANSLATE>,事務室,<PLEASE_TRANSLATE>
factory04,休憩室,<PLEASE_TRANSLATE>,休憩室,<PLEASE_TRANSLATE>
factory05,倉庫,<PLEASE_TRANSLATE>,倉庫,<PLEASE_TRANSLATE>
factory06,資材置き場,<PLEASE_TRANSLATE>,資材置き場,<PLEASE_TRANSLATE>
factory07,搬入口,<PLEASE_TRANSLATE>,搬入口,<PLEASE_TRANSLATE>
-,,,,
homeCenter00,植木売り場,<PLEASE_TRANSLATE>,植木売り場,<PLEASE_TRANSLATE>
homeCenter01,工具売り場,<PLEASE_TRANSLATE>,工具売り場,<PLEASE_TRANSLATE>
homeCenter02,家財売り場,<PLEASE_TRANSLATE>,家財売り場,<PLEASE_TRANSLATE>
homeCenter03,バックヤード,<PLEASE_TRANSLATE>,バックヤード,<PLEASE_TRANSLATE>
homeCenter04,倉庫,<PLEASE_TRANSLATE>,倉庫,<PLEASE_TRANSLATE>
homeCenter05,控室,<PLEASE_TRANSLATE>,控室,<PLEASE_TRANSLATE>
homeCenter06,更衣室,<PLEASE_TRANSLATE>,更衣室,<PLEASE_TRANSLATE>
homeCenter07,搬入口,<PLEASE_TRANSLATE>,搬入口,<PLEASE_TRANSLATE>
homeCenter08,広い駐車場,<PLEASE_TRANSLATE>,広い駐車場,<PLEASE_TRANSLATE>
homeCenter09,地下駐車場,<PLEASE_TRANSLATE>,地下駐車場,<PLEASE_TRANSLATE>
homeCenter10,店舗裏の駐車場,<PLEASE_TRANSLATE>,店舗裏の駐車場,<PLEASE_TRANSLATE>
-,,,,
museum00,化石の展示された部屋,<PLEASE_TRANSLATE>,化石の展示された部屋,<PLEASE_TRANSLATE>
museum01,剥製の展示された部屋,<PLEASE_TRANSLATE>,剥製の展示された部屋,<PLEASE_TRANSLATE>
museum02,模型の展示室,<PLEASE_TRANSLATE>,模型の展示室,<PLEASE_TRANSLATE>
museum03,古い書物の展示室,<PLEASE_TRANSLATE>,古い書物の展示室,<PLEASE_TRANSLATE>
museum04,エントランスホール,<PLEASE_TRANSLATE>,エントランスホール,<PLEASE_TRANSLATE>
museum05,イベントホール,<PLEASE_TRANSLATE>,イベントホール,<PLEASE_TRANSLATE>
museum06,事務室,<PLEASE_TRANSLATE>,事務室,<PLEASE_TRANSLATE>
museum07,倉庫,<PLEASE_TRANSLATE>,倉庫,<PLEASE_TRANSLATE>
museum08,広い廊下,<PLEASE_TRANSLATE>,広い廊下,<PLEASE_TRANSLATE>
museum09,静かな廊下,<PLEASE_TRANSLATE>,静かな廊下,<PLEASE_TRANSLATE>
-,,,,
amusementPark00,止まった観覧車,<PLEASE_TRANSLATE>,観覧車,<PLEASE_TRANSLATE>
amusementPark01,動かないメリーゴーランド,<PLEASE_TRANSLATE>,メリーゴーランド,<PLEASE_TRANSLATE>
amusementPark02,無人のジェットコースター,<PLEASE_TRANSLATE>,ジェットコースター,<PLEASE_TRANSLATE>
amusementPark03,異臭のするパンダカー,<PLEASE_TRANSLATE>,パンダの乗り物,<PLEASE_TRANSLATE>
amusementPark04,ブロンズ像の広場,<PLEASE_TRANSLATE>,開けたところ,<PLEASE_TRANSLATE>
amusementPark05,噴水広場,<PLEASE_TRANSLATE>,噴水広場,<PLEASE_TRANSLATE>
amusementPark06,事務所,<PLEASE_TRANSLATE>,事務所,<PLEASE_TRANSLATE>
amusementPark07,倉庫,<PLEASE_TRANSLATE>,倉庫,<PLEASE_TRANSLATE>
-,,,,
school00,一年生の教室,<PLEASE_TRANSLATE>,一年生の教室,<PLEASE_TRANSLATE>
school01,二年生の教室,<PLEASE_TRANSLATE>,二年生の教室,<PLEASE_TRANSLATE>
school02,三年生の教室,<PLEASE_TRANSLATE>,三年生の教室,<PLEASE_TRANSLATE>
school03,空き教室,<PLEASE_TRANSLATE>,空き教室,<PLEASE_TRANSLATE>
school04,職員室,<PLEASE_TRANSLATE>,職員室,<PLEASE_TRANSLATE>
school05,教材室,<PLEASE_TRANSLATE>,教材室,<PLEASE_TRANSLATE>
school06,倉庫,<PLEASE_TRANSLATE>,倉庫,<PLEASE_TRANSLATE>
school07,玄関ホール,<PLEASE_TRANSLATE>,玄関ホール,<PLEASE_TRANSLATE>
-,,,,
underpass00,暗い道,<PLEASE_TRANSLATE>,暗い道,<PLEASE_TRANSLATE>
underpass01,ポスターばかりの道,<PLEASE_TRANSLATE>,ポスターばかりの道,<PLEASE_TRANSLATE>
underpass02,タイル張りの道,<PLEASE_TRANSLATE>,タイル張りの道,<PLEASE_TRANSLATE>
underpass03,天井の低い道,<PLEASE_TRANSLATE>,天井の低い道,<PLEASE_TRANSLATE>
underpass04,倉庫,<PLEASE_TRANSLATE>,倉庫,<PLEASE_TRANSLATE>
underpass05,資材置き場,<PLEASE_TRANSLATE>,資材置き場,<PLEASE_TRANSLATE>
underpass06,スタッフルーム,<PLEASE_TRANSLATE>,スタッフルーム,<PLEASE_TRANSLATE>
underpass07,機械室,<PLEASE_TRANSLATE>,機械室,<PLEASE_TRANSLATE>
-,,,,
cafe00,ボックス席,<PLEASE_TRANSLATE>,ボックス席,<PLEASE_TRANSLATE>
cafe01,カウンター,<PLEASE_TRANSLATE>,カウンター,<PLEASE_TRANSLATE>
cafe02,雑貨売り場,<PLEASE_TRANSLATE>,雑貨売り場,<PLEASE_TRANSLATE>
cafe03,菓子売り場,<PLEASE_TRANSLATE>,菓子売り場,<PLEASE_TRANSLATE>
cafe04,厨房,<PLEASE_TRANSLATE>,厨房,<PLEASE_TRANSLATE>
cafe05,キッチン,<PLEASE_TRANSLATE>,キッチン,<PLEASE_TRANSLATE>
cafe06,事務所,<PLEASE_TRANSLATE>,事務所,<PLEASE_TRANSLATE>
cafe07,倉庫,<PLEASE_TRANSLATE>,倉庫,<PLEASE_TRANSLATE>
-,,,,
station00,改札前,<PLEASE_TRANSLATE>,改札前,<PLEASE_TRANSLATE>
station01,コンコース,<PLEASE_TRANSLATE>,コンコース,<PLEASE_TRANSLATE>
station02,待合室,<PLEASE_TRANSLATE>,待合室,<PLEASE_TRANSLATE>
station03,連絡通路,<PLEASE_TRANSLATE>,連絡通路,<PLEASE_TRANSLATE>
station04,自由通路,<PLEASE_TRANSLATE>,自由通路,<PLEASE_TRANSLATE>
station05,駅員室,<PLEASE_TRANSLATE>,駅員室,<PLEASE_TRANSLATE>
station06,事務所,<PLEASE_TRANSLATE>,事務所,<PLEASE_TRANSLATE>
station07,倉庫,<PLEASE_TRANSLATE>,倉庫,<PLEASE_TRANSLATE>
-,,,,
restaurant00,カウンター,<PLEASE_TRANSLATE>,カウンター,<PLEASE_TRANSLATE>
restaurant01,テーブル席,<PLEASE_TRANSLATE>,テーブル席,<PLEASE_TRANSLATE>
restaurant02,ボックス席,<PLEASE_TRANSLATE>,ボックス席,<PLEASE_TRANSLATE>
restaurant03,ホール,<PLEASE_TRANSLATE>,ホール,<PLEASE_TRANSLATE>
restaurant04,キッチン,<PLEASE_TRANSLATE>,キッチン,<PLEASE_TRANSLATE>
restaurant05,厨房,<PLEASE_TRANSLATE>,厨房,<PLEASE_TRANSLATE>
restaurant06,ドリンクサーバー,<PLEASE_TRANSLATE>,ドリンクサーバー,<PLEASE_TRANSLATE>
restaurant07,倉庫,<PLEASE_TRANSLATE>,倉庫,<PLEASE_TRANSLATE>
-,,,,
prison00,待合室,<PLEASE_TRANSLATE>,待合室,<PLEASE_TRANSLATE>
prison01,エントランスホール,<PLEASE_TRANSLATE>,エントランスホール,<PLEASE_TRANSLATE>
prison02,薄暗い廊下,<PLEASE_TRANSLATE>,薄暗い廊下,<PLEASE_TRANSLATE>
prison03,広い廊下,<PLEASE_TRANSLATE>,広い廊下,<PLEASE_TRANSLATE>
prison04,窓のない通路,<PLEASE_TRANSLATE>,窓のない通路,<PLEASE_TRANSLATE>
prison05,事務室,<PLEASE_TRANSLATE>,事務室,<PLEASE_TRANSLATE>
prison06,受付,<PLEASE_TRANSLATE>,受付,<PLEASE_TRANSLATE>
prison07,倉庫,<PLEASE_TRANSLATE>,倉庫,<PLEASE_TRANSLATE>
prison08,物置,<PLEASE_TRANSLATE>,物置,<PLEASE_TRANSLATE>
-,,,,
storehouse00,A列と書かれた棚,<PLEASE_TRANSLATE>,A列と書かれた棚,<PLEASE_TRANSLATE>
storehouse01,B列と書かれた棚,<PLEASE_TRANSLATE>,B列と書かれた棚,<PLEASE_TRANSLATE>
storehouse02,C列と書かれた棚,<PLEASE_TRANSLATE>,C列と書かれた棚,<PLEASE_TRANSLATE>
storehouse03,D列と書かれた棚,<PLEASE_TRANSLATE>,D列と書かれた棚,<PLEASE_TRANSLATE>
storehouse04,事務所,<PLEASE_TRANSLATE>,事務所,<PLEASE_TRANSLATE>
storehouse05,細い廊下,<PLEASE_TRANSLATE>,細い廊下,<PLEASE_TRANSLATE>
-,,,,
hospital00,待合室,<PLEASE_TRANSLATE>,待合室,<PLEASE_TRANSLATE>
hospital01,診察室,<PLEASE_TRANSLATE>,診察室,<PLEASE_TRANSLATE>
hospital02,病室,<PLEASE_TRANSLATE>,病室,<PLEASE_TRANSLATE>
hospital03,静かな廊下,<PLEASE_TRANSLATE>,静かな廊下,<PLEASE_TRANSLATE>
hospital04,事務室,<PLEASE_TRANSLATE>,事務室,<PLEASE_TRANSLATE>
hospital05,キッチン,<PLEASE_TRANSLATE>,キッチン,<PLEASE_TRANSLATE>
hospital06,倉庫,<PLEASE_TRANSLATE>,倉庫,<PLEASE_TRANSLATE>
-,,,,
theater00,エントランスホール,<PLEASE_TRANSLATE>,エントランスホール,<PLEASE_TRANSLATE>
theater01,広いホール,<PLEASE_TRANSLATE>,広いホール,<PLEASE_TRANSLATE>
theater02,薄暗い廊下,<PLEASE_TRANSLATE>,薄暗い廊下,<PLEASE_TRANSLATE>
theater03,事務所,<PLEASE_TRANSLATE>,事務所,<PLEASE_TRANSLATE>
theater04,控室,<PLEASE_TRANSLATE>,控室,<PLEASE_TRANSLATE>
-,,,,
foodStorage00,Aと書かれた部屋,<PLEASE_TRANSLATE>,Aと書かれた部屋,<PLEASE_TRANSLATE>
foodStorage01,Bと書かれた部屋,<PLEASE_TRANSLATE>,Bと書かれた部屋,<PLEASE_TRANSLATE>
foodStorage02,Cと書かれた部屋,<PLEASE_TRANSLATE>,Cと書かれた部屋,<PLEASE_TRANSLATE>
foodStorage03,Dと書かれた倉庫,<PLEASE_TRANSLATE>,Dと書かれた倉庫,<PLEASE_TRANSLATE>
foodStorage04,Eと書かれた倉庫,<PLEASE_TRANSLATE>,Eと書かれた倉庫,<PLEASE_TRANSLATE>
-,,,,
armoury00,Aと書かれた部屋,<PLEASE_TRANSLATE>,Aと書かれた部屋,<PLEASE_TRANSLATE>
armoury01,Bと書かれた部屋,<PLEASE_TRANSLATE>,Bと書かれた部屋,<PLEASE_TRANSLATE>
armoury02,Cと書かれた部屋,<PLEASE_TRANSLATE>,Cと書かれた部屋,<PLEASE_TRANSLATE>
armoury03,Dと書かれた倉庫,<PLEASE_TRANSLATE>,Dと書かれた倉庫,<PLEASE_TRANSLATE>
armoury04,Eと書かれた倉庫,<PLEASE_TRANSLATE>,Eと書かれた倉庫,<PLEASE_TRANSLATE>
-,,,,
baseCamp00,開けたところ,<PLEASE_TRANSLATE>,開けたところ,<PLEASE_TRANSLATE>
-,,,,
