id,name<jpn>,type,context,area,level,ratio,hp,stamina,speed,atk,def,distance,attackTypes[],sound,defeatedEventRatio,defeatedSpeak,defeatedEvent,fg,fgType,fgPosition
enemy12,Infected with a CD sticking out of it's head,default,enemy,-,28,0.5,65,0,1,15,1,1,EnemyAttack,enemy00,0.5,itemDropEnemy,itemGetAmmo00,-,-,-
enemy13,Infected with tree roots as an arm,default,enemy,-,30,0.5,65,0,1,15,0,1,EnemyAttack,enemy00,0,-,-,-,-,-
enemy14,Infected with scales dusting from both eyes,default,enemy,-,35,0.5,70,0,1,12,2,1,EnemyAttack/EnemyAttackWait,enemy00,0.5,itemDropEnemy,itemGetFood00,-,-,-
enemy15,Infected with a large hole in its abdomen,default,enemy,-,40,0.5,70,0,1,15,1,1,EnemyAttack,enemy00,0.5,itemDropEnemy,itemGetGun01,-,-,-
enemy16,Infected with fluff from its mouth,default,enemy,-,45,0.5,80,0,1,20,0,1,EnemyAttack/EnemyAttackWait,enemy00,0.5,itemDropEnemy,itemGet00,-,-,-
-,,,,,,,,,,,,,,,,,,,,
enemy50,Infected with a rotten right side,default,enemy,endless,1,0.1,20,0,1,20,2,1,EnemyAttack,enemy00,0.5,itemDropEnemy,itemGetAmmo00,-,-,-
enemy51,Infected in green work clothes,default,enemy,endless,1,0.1,30,0,1,15,0,1,EnemyAttack/EnemyAttackWait,enemy00,1,itemDropEnemy,itemGetFood00,-,-,-
enemy52,Helmeted infected,default,enemy,endless,1,0.1,25,0,2,10,0,1,EnemyAttack,enemy00,0.5,itemDropEnemy,itemGetGun01,-,-,-
enemy53,Four-legged infected,default,enemy,endless,5,0.1,30,0,1,15,5,1,EnemyAttack,enemy00,0.5,itemDropEnemy,itemGetAmmo00,-,-,-
enemy54,Infected with only the jaw remaining,default,enemy,endless,5,0.1,35,0,1,25,2,1,EnemyAttack/EnemyAttackWait,enemy00,0.5,itemDropEnemy,itemGetAmmo00,-,-,-
enemy55,Infected that continually spits sand from its mouth,default,enemy,endless,10,0.1,40,0,1,25,0,1,EnemyAttack,enemy00,0,-,-,-,-,-
enemy56,Infected with crystals growing from its chest,default,enemy,endless,15,0.1,40,0,2,25,0,1,EnemyAttack/EnemyAttackWait,enemy00,0.5,itemDropEnemy,itemGetBox00,-,-,-
enemy57,Infected with countless cables growing from its body,default,enemy,endless,20,0.1,50,0,1,30,3,1,EnemyAttack,enemy00,0.5,itemDropEnemy,itemGetBox00,-,-,-
enemy58,Infected covered in leaves,default,enemy,endless,25,0.1,60,0,1,30,0,1,EnemyAttack/EnemyAttackWait/EnemyAttackSmashCharge,enemy00,0.5,itemDropEnemy,itemGet00,-,-,-
enemy59,Infected with a faint light leaking from its entire body,default,enemy,endless,30,0.1,70,0,1,35,2,1,EnemyAttack/EnemyAttackWait,enemy00,0,-,-,-,-,-
-,,,,,,,,,,,,,,,,,,,,
enemyBoss00,Infected with both stone arms,boss,enemy,-,8,0.5,50,0,1,15,1,1,EnemyAttack/EnemyAttackWait/EnemyAttackSmashCharge,enemy02,1.0,itemDropEnemy,itemGetBox00,-,-,-
enemyBoss01,Infected with a giant flower growing from its body,boss,enemy,-,12,0.5,150,0,1,15,1,1,EnemyAttack/EnemyAttackSmashCharge/EnemyAttackWait,enemy02,1.0,itemDropEnemy,itemGetIdBag00,-,-,-
enemyBoss02,Infected with needle-like hair growing all over its body,boss,enemy,-,20,0.5,100,0,1,16,3,1,EnemyAttack/EnemyAttackSmashCharge/EnemyAttackWait,enemy02,1.0,itemDropEnemy,itemGetIdBag00,-,-,-
enemyBoss03,Infected with a body that flashes bluish-white,boss,enemy,-,30,0.5,160,0,1,18,3,1,EnemyAttack/EnemyAttackSmashCharge/EnemyAttackWait,enemy02,1.0,itemDropEnemy,itemGetBox00,-,-,-
-,,,,,,,,,,,,,,,,,,,,
enemyBoss50,Infected with antennas growing from its head,boss,enemy,endless,10,1,160,0,2,15,1,1,EnemyAttack/EnemyAttackSmashCharge/EnemyAttackWait,enemy02,1.0,itemDropEnemy,itemGetIdCoin00,-,-,-
enemyBoss51,Infected with arms covered in vines,boss,enemy,endless,20,1,250,0,1,25,2,1,EnemyAttack/EnemyAttackSteal/EnemyAttack,enemy02,1.0,itemDropEnemy,itemGetIdCoin00,-,-,-
enemyBoss52,Infected with a turbine embedded in its chest,boss,enemy,endless,30,1,320,0,1,25,3,1,EnemyAttack/EnemyAttackSmashCharge/EnemyAttackWait,enemy02,1.0,itemDropEnemy,itemGetIdCoin00,-,-,-
enemyBoss53,Infected with long fingers growing all over its body,boss,enemy,endless,40,1,380,0,1,30,2,1,EnemyAttack/EnemyAttackSteal/EnemyAttackSmashCharge,enemy02,1.0,itemDropEnemy,itemGetIdCoin00,-,-,-
enemyBoss54,Infected with fleshy wings growing from its back,boss,enemy,endless,50,1,460,0,1,30,2,1,EnemyAttack/EnemyAttackSmashCharge/EnemyAttackWait,enemy02,1.0,itemDropEnemy,itemGetIdCoin00,-,-,-
-,,,,,,,,,,,,,,,,,,,,
enemyBoss100,Infected in red clothes,boss,enemy,-,20,0,80,0,1,8,1,1,EnemyAttack/EnemyAttackWait/EnemyAttackSmashCharge,enemy02,1.0,itemDropEnemy,itemGetCollectionId100,-,-,-
enemyBoss101,Minamo,boss,minamo,-,30,0,50,0,1,16,1,0,EnemyAttackSpeak/EnemyAttackWaitSpeak,-,0,-,-,survivor05,,right-left
-,,,,,,,,,,,,,,,,,,,,
